variant,seed,bin,lower,upper,n,accuracy,mean_confidence
VQ,2027,8,0.8,0.9,7,0.5714285714285714,0.8626803524287021
VQ,2027,9,0.9,1.0,21,0.9523809523809523,0.9657858855210034
VQ,2028,2,0.2,0.3,34,0.47058823529411764,0.23766671032840686
VQ,2028,3,0.3,0.4,1,0.0,0.3932228322757979
VQ,2028,4,0.4,0.5,3,0.6666666666666666,0.47798210565197935
VQ,2028,5,0.5,0.6,34,0.4117647058823529,0.5409841328320903
VQ,2028,6,0.6,0.7,10,0.9,0.6280750107931167
VQ,2028,7,0.7,0.8,7,0.7142857142857143,0.7397019602450329
VQ,2028,8,0.8,0.9,4,1.0,0.865965014916759
VQ,2028,9,0.9,1.0,18,0.8333333333333334,0.9712645725387927
V_mean,2026,2,0.2,0.3,27,0.4074074074074074,0.2400567145124066
V_mean,2026,3,0.3,0.4,6,0.5,0.3731687417128582
V_mean,2026,4,0.4,0.5,19,0.3684210526315789,0.4571248057644988
V_mean,2026,5,0.5,0.6,25,0.48,0.5575379776444829
V_mean,2026,6,0.6,0.7,10,0.7,0.6304875073686129
V_mean,2026,7,0.7,0.8,6,0.8333333333333334,0.7536631194000286
V_mean,2026,8,0.8,0.9,3,0.6666666666666666,0.8638563176077424
V_mean,2026,9,0.9,1.0,15,0.8666666666666667,0.9753358566910694
V_mean,2027,3,0.3,0.4,10,0.1,0.37896064898190035
V_mean,2027,4,0.4,0.5,21,0.09523809523809523,0.4594465723817899
V_mean,2027,5,0.5,0.6,26,0.5769230769230769,0.5553163981024626
V_mean,2027,6,0.6,0.7,17,0.4117647058823529,0.6334344322693882
V_mean,2027,7,0.7,0.8,9,0.6666666666666666,0.7558236078891915
V_mean,2027,8,0.8,0.9,7,0.42857142857142855,0.8396899524875646
V_mean,2027,9,0.9,1.0,21,0.7619047619047619,0.9652718683714686
V_mean,2028,2,0.2,0.3,21,0.42857142857142855,0.27729807200979034
V_mean,2028,3,0.3,0.4,12,0.25,0.3632844184572681
V_mean,2028,4,0.4,0.5,5,0.2,0.45845871770363145
V_mean,2028,5,0.5,0.6,39,0.5641025641025641,0.546872579327279
V_mean,2028,6,0.6,0.7,10,0.5,0.6448430478204564
V_mean,2028,7,0.7,0.8,2,0.5,0.7240931463478102
V_mean,2028,8,0.8,0.9,6,0.3333333333333333,0.8314324668368688
V_mean,2028,9,0.9,1.0,16,0.875,0.9813047845513972
V_single,2026,2,0.2,0.3,35,0.37142857142857144,0.2672438283606383
V_single,2026,3,0.3,0.4,10,0.5,0.36524821448500344
V_single,2026,4,0.4,0.5,29,0.41379310344827586,0.46137429836567356
V_single,2026,5,0.5,0.6,8,0.75,0.5367941086824943
V_single,2026,6,0.6,0.7,5,0.4,0.661222191019895
V_single,2026,7,0.7,0.8,4,0.25,0.7625763990908847
V_single,2026,8,0.8,0.9,5,0.8,0.8439761099826131
V_single,2026,9,0.9,1.0,15,0.8666666666666667,0.9450801416089071
V_single,2027,2,0.2,0.3,1,0.0,0.2712502580601818
V_single,2027,3,0.3,0.4,9,0.1111111111111111,0.3768812846071101
V_single,2027,4,0.4,0.5,44,0.38636363636363635,0.45106620093652466
V_single,2027,5,0.5,0.6,24,0.5,0.538703179449703
V_single,2027,6,0.6,0.7,5,0.8,0.6115299362864842
V_single,2027,7,0.7,0.8,3,0.3333333333333333,0.7779196688246448
V_single,2027,8,0.8,0.9,11,0.8181818181818182,0.8614814985668121
V_single,2027,9,0.9,1.0,14,0.9285714285714286,0.961381452418584
V_single,2028,3,0.3,0.4,34,0.2647058823529412,0.3586881774885594
V_single,2028,4,0.4,0.5,17,0.29411764705882354,0.4487984209333685
V_single,2028,5,0.5,0.6,15,0.5333333333333333,0.5583761138989819
V_single,2028,6,0.6,0.7,9,0.4444444444444444,0.6627261288253191
V_single,2028,7,0.7,0.8,5,0.6,0.7458155007112854
V_single,2028,8,0.8,0.9,22,0.7272727272727273,0.8480421419434966
V_single,2028,9,0.9,1.0,9,0.7777777777777778,0.958508000350261
