variant,acc5_mean,acc5_std,macro_f1_5_mean,macro_f1_5_std,qwk5_mean,qwk5_std,mae_bcs_mean,mae_bcs_std,within_one_acc_mean,within_one_acc_std,macro_f1_3_mean,macro_f1_3_std
V,0.5525525525525525,0.028959912195173985,0.5088955063857611,0.04658034616483872,0.5678382732502478,0.07542023324720093,0.6096096096096096,0.022672175481293546,0.8978978978978979,0.013761488573441043,0.7629745128466606,0.022146796089720935
VA,0.5735735735735735,0.013761488573440969,0.5114516804892871,0.024240371390828082,0.5995660669887678,0.052197384064475716,0.5615615615615616,0.04062387164705313,0.918918918918919,0.027027027027027015,0.775127966553359,0.027580380511807542
VAQ,0.5795795795795796,0.0496177526782532,0.5313164580477273,0.06914541604439246,0.6011698985357896,0.06232593410419795,0.5525525525525525,0.05430372768776315,0.921921921921922,0.013761488573440948,0.781651207550022,0.02571587473614113
VQ,0.5735735735735736,0.03750749548587627,0.5360530129882911,0.03552643833613586,0.6014725594621052,0.03485484295831085,0.5615615615615616,0.04623064359862055,0.9129129129129129,0.005201353776483078,0.7863403558216019,0.023282351566831335
V_mean,0.5015015015015015,0.04623064359862059,0.44748434966205314,0.07223448054775068,0.5109392323579199,0.049160259399572734,0.7147147147147147,0.04961775267825314,0.8588588588588589,0.00520135377648311,0.7244295383562404,0.03135452847214648
V_single,0.4954954954954955,0.023835597396978256,0.4474514030621241,0.04428808090317573,0.5345430559060999,0.09584517769783386,0.6666666666666666,0.07150679219093486,0.8768768768768768,0.03410755763243407,0.7148382820388922,0.037223247414402805
