variant,metric,estimate,ci_low,ci_high,valid_bootstrap
VAQ,acc5,0.5795795795795796,0.5096108490566037,0.6551772842392364,2000
VAQ,macro_f1_5,0.5313164580477273,0.43839535799616514,0.5996176589577217,2000
VAQ,qwk5,0.6011698985357897,0.45550010413721365,0.7116663707298,2000
VAQ,mae_bcs,0.5525525525525525,0.4358910891089109,0.6697826661964379,2000
V_single,acc5,0.4954954954954955,0.4264264264264264,0.5645645645645646,2000
V_single,macro_f1_5,0.4474514030621241,0.3681920397916479,0.5285190895147378,2000
V_single,qwk5,0.5345430559060999,0.3826917954858744,0.6471705098179873,2000
V_single,mae_bcs,0.6666666666666666,0.5431989511635529,0.7946135461760462,2000
V_mean,acc5,0.5015015015015015,0.43952467149369806,0.5652209434498436,2000
V_mean,macro_f1_5,0.44748434966205314,0.3809551726042242,0.4934670285879637,2000
V_mean,qwk5,0.5109392323579199,0.31387223528130226,0.6528631988680019,2000
V_mean,mae_bcs,0.7147147147147147,0.5903848557572121,0.8611242138364779,2000
V,acc5,0.5525525525525526,0.487636165577342,0.6177583215713949,2000
V,macro_f1_5,0.5088955063857611,0.4231113392570494,0.5673527447235904,2000
V,qwk5,0.5678382732502478,0.403790673029959,0.687580627274247,2000
V,mae_bcs,0.6096096096096096,0.4970404271548436,0.7362351778656125,2000
VA,acc5,0.5735735735735735,0.5151447510822511,0.6346153846153846,2000
VA,macro_f1_5,0.5114516804892871,0.4283446455039032,0.5780472343423169,2000
VA,qwk5,0.5995660669887678,0.44836838255899913,0.70326310888396,2000
VA,mae_bcs,0.5615615615615616,0.455652193659733,0.6758409785932722,2000
VQ,acc5,0.5735735735735735,0.5,0.6548672566371682,2000
VQ,macro_f1_5,0.5360530129882911,0.4259826664046108,0.6386102810570407,2000
VQ,qwk5,0.6014725594621053,0.4530673038553307,0.7286215566417699,2000
VQ,mae_bcs,0.5615615615615616,0.43361382144567984,0.6936998361998361,2000
