variant,seed,brier_multiclass,nll,ece_10
V,2026,0.5936448391874612,1.1546692821647055,0.1275690021261501
V,2027,0.5632269739261432,1.158983170262209,0.09124917287979553
V,2028,0.5833012545397591,1.178626472019898,0.13545168424021004
VA,2026,0.5356502663242763,1.1061995609707864,0.1405007001265385
VA,2027,0.54842518109014,1.1623339114098648,0.12746280958604117
VA,2028,0.5590656848770859,1.1239363800705562,0.1455856779182382
VAQ,2026,0.5136159342155818,1.0229927755774073,0.09875294078246451
VAQ,2027,0.5284630033728442,1.055214237433644,0.11558491136186269
VAQ,2028,0.583447144942678,1.1737254249925235,0.14008691186958822
VQ,2026,0.5059076703706769,1.0430671781221252,0.11933272357397967
VQ,2027,0.5348334103250525,1.0582531711836578,0.12601301407378537
VQ,2028,0.5713567104670941,1.199960702370602,0.17286607874108464
V_mean,2026,0.6029103772958339,1.1825820740480575,0.11079306325791344
V_mean,2027,0.6390969917178831,1.2908407377802797,0.2046765304681863
V_mean,2028,0.6171131788165025,1.2558872998945023,0.11789643809711398
V_single,2026,0.6379044016243234,1.2410294462080962,0.11560346730794492
V_single,2027,0.5859280583469803,1.2251066502822816,0.0869433973933401
V_single,2028,0.6495657013288179,1.3248404733760726,0.1187182404311404
