epoch,loss,score,n,acc5,macro_f1_5,qwk5,mae_bcs,within_one_acc,macro_f1_3,extreme_lean_high
1,2.2223453391682018,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
2,2.108942734111439,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
3,1.925220181725242,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
4,1.6649136131460016,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
5,1.5106893127614802,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
6,1.254845346104015,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
7,1.0552574851296164,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
8,1.1912560506300494,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
9,1.3600683439861645,-0.21804356332333377,20,0.05,0.02,0.031563845050215256,2.35,0.2,0.0909090909090909,4
10,0.8873032255606218,0.6266086513656847,20,0.25,0.23809523809523808,0.3972332015810277,1.35,0.6,0.5675770308123249,1
11,1.0975059899416837,0.7207371311443709,20,0.25,0.2363636363636364,0.5167652859960552,1.25,0.6,0.5398692810457516,0
12,1.2186784982681274,0.6658776256549732,20,0.25,0.2363636363636364,0.4966118102613746,1.3,0.55,0.4920634920634921,0
13,0.7105805342847651,0.9606726314107685,20,0.5,0.48459383753501395,0.718804920913884,0.6,0.9,0.7090909090909091,0
14,1.1777982885187321,0.6773290257500784,20,0.45,0.32189542483660133,0.41295546558704443,0.75,0.9,0.6127946127946128,1
15,1.2722226424650713,0.6846669355380789,20,0.45,0.3362193362193362,0.41923774954627946,0.8,0.85,0.617933723196881,1
16,0.6451005848971281,0.6304534932659933,20,0.5,0.34853146853146855,0.46180555555555547,0.75,0.85,0.5488215488215489,1
17,0.7210168621756814,0.5241193949216639,20,0.4,0.2787878787878788,0.4165316045380876,0.9,0.8,0.4583333333333333,1
