metric,mean,std
acc5,0.5559477124183007,0.04604184335176534
balanced_acc5,0.4804108309990663,0.027517922404548992
macro_f1_5,0.4613070129012158,0.0417829996911168
weighted_f1_5,0.554953917605239,0.04582382842953299
qwk5,0.5069053704408458,0.05773384364368578
mae_bcs,0.6032679738562092,0.08155762872050572
within_one_acc,0.9069281045751634,0.04664084527571096
acc3_ordinal,0.7349019607843137,0.025810953210830316
macro_f1_3_ordinal,0.6751645655473292,0.03834461239257143
qwk3_ordinal,0.5012439214913172,0.044041146631794176
acc3_mgmt,0.7545098039215686,0.08469226470059314
macro_f1_3_mgmt,0.7152874758946864,0.06192612587901705
qwk3_mgmt,0.5321379743072793,0.07515293192112124
lean_precision_mgmt,0.3784313725490196,0.1945924081398133
lean_recall_mgmt,0.49134199134199136,0.058920595622580944
low_precision,0.3784313725490196,0.1945924081398133
low_recall,0.49134199134199136,0.058920595622580944
low_specificity,0.8092284976005907,0.10752790690856005
low_pr_auc,0.41734772711846296,0.0863248173256529
low_roc_auc,0.727991711131246,0.06886221778662785
high_precision_ordinal,0.7662337662337663,0.21692588426610476
high_recall_ordinal,0.9153439153439153,0.07501294644845413
high_specificity_ordinal,0.9285714285714285,0.07142857142857145
high_precision_branch,0.8486772486772486,0.04504507228315924
high_recall_branch,0.9153439153439153,0.07501294644845413
high_specificity_branch,0.9684385382059801,0.013909032876058117
high_pr_auc,0.9478689006466784,0.05329813097052272
high_roc_auc,0.966044255772938,0.050798025304864346
attn_entropy_mean,2.4697941848031832,0.0032593927431871393
attn_entropy_std,0.03246349000581893,0.008035999504384756
