fold,best_epoch,best_val_qwk,best_val_score,test_bags,acc5,balanced_acc5,macro_f1_5,weighted_f1_5,qwk5,mae_bcs,within_one_acc,acc3_ordinal,macro_f1_3_ordinal,qwk3_ordinal,acc3_mgmt,macro_f1_3_mgmt,qwk3_mgmt,lean_precision_mgmt,lean_recall_mgmt,low_precision,low_recall,low_specificity,low_pr_auc,low_roc_auc,high_precision_ordinal,high_recall_ordinal,high_specificity_ordinal,high_precision_branch,high_recall_branch,high_specificity_branch,high_pr_auc,high_roc_auc,attn_entropy_mean,attn_entropy_std
0,57,0.8376690946930281,1.4152667747907082,51,0.6078431372549019,0.5111111111111111,0.5052991452991453,0.6065694653929948,0.5575988896599584,0.5098039215686274,0.9607843137254902,0.7647058823529411,0.7129032258064516,0.5517578125,0.8235294117647058,0.7830687830687829,0.614609571788413,0.6,0.5454545454545454,0.6,0.5454545454545454,0.9,0.5065716685756286,0.8045454545454546,0.7272727272727273,0.8888888888888888,0.9285714285714286,0.8888888888888888,0.8888888888888888,0.9761904761904762,0.8864638447971782,0.9074074074074073,2.4664894880033006,0.041596469509306955
1,21,0.7966386554621849,1.3506190317035907,50,0.52,0.4579645191409897,0.4564672364672364,0.5392307692307692,0.5190529041805402,0.64,0.88,0.72,0.6763490241102182,0.48107448107448114,0.66,0.6616708023159635,0.46751863684771033,0.23529411764705882,0.5,0.23529411764705882,0.5,0.6904761904761905,0.41122329059829055,0.7083333333333334,1.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.9767441860465116,0.982142857142857,0.9966777408637874,2.4698867654800414,0.02931784580378213
2,40,0.638157894736842,1.1030764815263967,50,0.54,0.47215686274509805,0.42215465693726556,0.519061518191953,0.444064317482039,0.66,0.88,0.72,0.6362414467253178,0.4708994708994708,0.78,0.7011228422993129,0.5142857142857142,0.3,0.42857142857142855,0.3,0.42857142857142855,0.8372093023255814,0.3342482221814699,0.6710963455149501,0.5714285714285714,1.0,0.8571428571428571,0.8,1.0,0.9523809523809523,0.975,0.994047619047619,2.4730063009262087,0.026476154704367705
