Management class,count,mean,std,min,25%,50%,75%,max
High,23.0,171.93550839631453,1.7176240283197677,167.54396057128906,171.20299530029297,172.57476806640625,172.95455932617188,174.25454711914062
Ideal,97.0,169.13778529216333,3.024043473015137,157.94207763671875,167.36456298828125,169.67364501953125,171.14797973632812,173.93026733398438
Lean,23.0,166.47653795325238,4.284170020054038,158.71002197265625,163.39215087890625,166.41632080078125,170.43252563476562,172.58738708496094
