Model,Coverage,Acc5,Macro-F1 5,Weighted-F1 5,QWK5,MAE,Within-one Acc,Macro-F1 3,Lean recall,High recall,Lean→High,High→Lean,BCS2→BCS6,BCS6→BCS2/3
RGB-depth CO-MIL,1.0,0.4763398692810457,0.3642020901928022,0.3871209010608027,0.4196617943746579,0.7422222222222222,0.8411764705882353,0.6379738620533305,0.551948051948052,0.7619047619047619,3,1,3,1
RGB-depth LowHigh CO-MIL,1.0,0.4562091503267974,0.4068520198964844,0.4399309385984682,0.3935210102410573,0.869281045751634,0.7675816993464052,0.5842170855846369,0.6883116883116882,0.8571428571428571,3,3,3,3
Final quality-gated angle-aware CO-MIL,0.7345098039215686,0.6166426166426167,0.5679797218032512,0.5951579738344445,0.6339360265555832,0.5165945165945166,0.8970658970658971,0.8058876775002194,0.6666666666666666,1.0,1,0,1,0
