Variant,RGB,Depth,LowHigh,Quality gate,Dorsal angle,Coverage,Acc5,Macro-F1 5,Weighted-F1 5,QWK5,MAE,Within-one Acc,Macro-F1 3,Lean recall,High recall,Lean→High,High→Lean,BCS2→BCS6,BCS6→BCS2/3
RGB-only LowHigh CO-MIL,✓,,✓,,,1.0,0.2581699346405229,0.2103081256511797,0.204726097855696,0.4529906875347972,1.0599999999999998,0.7350326797385621,0.4051161399517708,0.7435064935064934,0.8366402116402116,2,2,1,2
Depth-only LowHigh CO-MIL,,✓,✓,,,1.0,0.3636601307189542,0.3046614843354342,0.3051219087028536,0.3142115218262998,1.0206535947712418,0.6886274509803921,0.5021840388570337,0.5844155844155844,0.9523809523809524,3,1,3,1
RGB-depth CO-MIL,✓,✓,,,,1.0,0.4763398692810457,0.3642020901928022,0.3871209010608027,0.4196617943746579,0.7422222222222222,0.8411764705882353,0.6379738620533305,0.551948051948052,0.7619047619047619,3,1,3,1
RGB-depth LowHigh CO-MIL,✓,✓,✓,,,1.0,0.4562091503267974,0.4068520198964844,0.4399309385984682,0.3935210102410573,0.869281045751634,0.7675816993464052,0.5842170855846369,0.6883116883116882,0.8571428571428571,3,3,3,3
"Quality-gated RGB-depth LowHigh, no angle",✓,✓,✓,✓,,0.7345098039215686,0.5234487734487735,0.4075311467073481,0.4653503360215793,0.4799501546711172,0.639009139009139,0.9022366522366522,0.718807516206537,0.4444444444444445,0.9047619047619048,2,1,2,1
Final quality-gated angle-aware CO-MIL,✓,✓,✓,✓,✓,0.7345098039215686,0.6166426166426167,0.5679797218032512,0.5951579738344445,0.6339360265555832,0.5165945165945166,0.8970658970658971,0.8058876775002194,0.6666666666666666,1.0,1,0,1,0
Angle-only MLP,,,,✓,✓,0.7345098039215686,0.199013949013949,0.1637019159740057,0.1680479858132967,0.2674284607944514,1.4579124579124578,0.5548340548340548,0.3922406569465393,0.611111111111111,0.6878306878306879,2,4,0,4
