acc5,balanced_acc5,macro_f1_5,weighted_f1_5,acc3_final,macro_f1_3_final,weighted_f1_3_final,qwk5,qwk3_final,mae_bcs,within_one_acc,lean_precision_final,lean_recall_final,high_precision_final,high_recall_final,low_precision,low_recall,low_specificity,low_pr_auc,low_roc_auc,high_branch_precision,high_branch_recall,high_branch_specificity,high_branch_pr_auc,high_branch_roc_auc,lean_to_high_errors,high_to_lean_errors,bcs2_to_bcs6_errors,bcs6_to_bcs2_or_3_errors,attn_entropy_mean,attn_entropy_std,fold_id,variant,raw_test_bags,eligible_test_bags,test_coverage
0.5686274509803921,0.5058333333333334,0.4802782819116757,0.5579872602398491,0.6862745098039216,0.7103387399315899,0.7036483179832674,0.5762199728055597,0.6065773447015834,0.6078431372549019,0.8627450980392157,0.3684210526315789,0.6363636363636364,0.9,1.0,0.42857142857142855,0.2727272727272727,0.9,0.44487898465171194,0.7795454545454545,1.0,0.8888888888888888,1.0,0.9888888888888889,0.9973544973544973,1,0,1,0,2.4195822757833145,0.10896543285496985,0,rgb_depth_lowhigh,51,51,1.0
0.2,0.38095238095238093,0.2537878787878788,0.14265151515151517,0.24,0.34118967452300786,0.14922558922558923,0.2163381619567799,0.2577384712571068,1.32,0.58,0.17391304347826086,1.0,1.0,0.5714285714285714,0.0,0.0,0.9761904761904762,0.289363834579919,0.6815476190476191,0.0,0.0,1.0,1.0,1.0,0,3,0,3,2.4832596302032472,0.0036435998406777422,1,rgb_depth_lowhigh,50,50,1.0
0.6,0.48052287581699343,0.486489898989899,0.6191540404040403,0.78,0.7011228422993129,0.7947109100050278,0.3880048959608322,0.5142857142857142,0.68,0.86,0.3,0.42857142857142855,0.8,1.0,0.3,0.42857142857142855,0.8372093023255814,0.3016053939306219,0.6378737541528239,0.8,1.0,0.9523809523809523,0.975,0.994047619047619,2,0,2,0,2.451784493923187,0.1173416390620641,2,rgb_depth_lowhigh,50,50,1.0
