metric,mean,std
acc3_final,0.5687581699346406,0.28854387465722486
acc5,0.4562091503267974,0.2224374198316945
attn_entropy_mean,2.4515421333032497,0.03183936903399632
attn_entropy_std,0.07665022391923723,0.06336415056731225
balanced_acc5,0.4557695300342359,0.06601787002375946
bcs2_to_bcs6_errors,1.0,1.0
bcs6_to_bcs2_or_3_errors,1.0,1.7320508075688772
eligible_test_bags,50.333333333333336,0.5773502691896258
fold_id,1.0,1.0
high_branch_pr_auc,0.987962962962963,0.012525693757841386
high_branch_precision,0.6,0.5291502622129182
high_branch_recall,0.6296296296296297,0.5480980958129164
high_branch_roc_auc,0.9971340388007054,0.0029823080375813247
high_branch_specificity,0.9841269841269842,0.027492869961410784
high_precision_final,0.9,0.09999999999999998
high_recall_final,0.8571428571428571,0.24743582965269675
high_to_lean_errors,1.0,1.7320508075688772
lean_precision_final,0.2807780320366133,0.09866840652146924
lean_recall_final,0.6883116883116882,0.28923451235480635
lean_to_high_errors,1.0,1.0
low_pr_auc,0.34528273772075097,0.08646978227036259
low_precision,0.24285714285714285,0.219925775976295
low_recall,0.23376623376623376,0.21692588426610473
low_roc_auc,0.6996556092486325,0.07255096246690891
low_specificity,0.9044665928386859,0.06959816456564047
macro_f1_3_final,0.5842170855846369,0.2105183485774593
macro_f1_5,0.40685201989648445,0.13259381402112239
mae_bcs,0.869281045751634,0.39199787626894006
qwk3_final,0.4595338434148015,0.18074973147809023
qwk5,0.3935210102410573,0.18000430573326187
raw_test_bags,50.333333333333336,0.5773502691896258
test_coverage,1.0,0.0
weighted_f1_3_final,0.5491949390712948,0.3493632916155155
weighted_f1_5,0.4399309385984682,0.259261712276665
within_one_acc,0.7675816993464052,0.16245631516834028
