bag_id,n_good_frames,angle_mean,angle_median,angle_std,angle_min,angle_max,angle_q25,angle_q75,angle_iqr,angle_range,angle_cv,angle_mad,bcs_raw
BCS2__Cow_11,76,172.3202617042943,172.56684112548828,1.8562333993973466,163.0397186279297,174.16635131835938,172.04189682006836,173.33570861816406,1.2938117980957031,11.126632690429688,0.010771997332401268,0.6702957153320312,2
BCS2__Cow_11_1,6,169.71556854248047,170.86187744140625,3.8468660219993525,163.13189697265625,174.43873596191406,168.5673713684082,171.11283493041992,2.5454635620117188,11.306838989257812,0.0226665476540325,1.6745758056640625,2
BCS2__Cow_11_2,40,170.12054367065429,170.79063415527344,2.4792390348149858,161.3365020751953,173.3311767578125,169.66606903076172,171.44495010375977,1.7788810729980469,11.994674682617188,0.01457342529785633,0.7625885009765625,2
BCS2__Cow_21_8029,17,165.51860225901885,164.39080810546875,3.7678034045675193,160.5571746826172,172.1338348388672,162.60482788085938,166.60977172851562,4.00494384765625,11.57666015625,0.022763625073822888,2.218963623046875,2
BCS2__Cow_5_1,10,171.232275390625,170.74078369140625,1.159086530834914,170.03469848632812,173.21258544921875,170.63616943359375,171.53713989257812,0.900970458984375,3.177886962890625,0.00676908911121305,0.706085205078125,2
BCS3__Cow_14,4,165.83857345581055,166.9393768310547,6.645047447583774,157.94622802734375,171.52931213378906,161.53694915771484,171.2410011291504,9.704051971435547,13.583084106445312,0.04006937173367822,4.397727966308594,3
BCS3__Cow_14_0011,4,168.2213020324707,169.81598663330078,5.083696832464947,160.83761596679688,172.41561889648438,167.2645492553711,170.7727394104004,3.508190155029297,11.5780029296875,0.03022029178851364,1.5043792724609375,3
BCS3__Cow_16,20,163.41452331542968,163.6712188720703,3.70356534409179,154.12716674804688,168.85105895996094,163.12822723388672,165.07474517822266,1.9465179443359375,14.723892211914062,0.022663624192955055,0.662872314453125,3
BCS3__Cow_16_1004,3,164.9920450846354,167.09588623046875,6.728299825498067,157.4632110595703,170.4170379638672,162.27954864501953,168.75646209716797,6.4769134521484375,12.953826904296875,0.04077954074723223,3.3211517333984375,3
BCS3__Cow_20_0029,4,168.26279830932617,169.93011474609375,3.9664927865930073,162.37823486328125,170.81272888183594,167.66375732421875,170.52915573120117,2.865398406982422,8.434494018554688,0.023573201126140784,0.6935653686523438,3
BCS3__Cow_22,20,170.91237106323243,171.10816192626953,2.2096636191207453,166.38404846191406,173.78262329101562,170.11927795410156,172.4401092529297,2.320831298828125,7.3985748291015625,0.01292863474641772,1.2884292602539062,3
BCS3__Cow_22_1,6,171.641845703125,171.24549102783203,1.2904316367282873,170.64157104492188,174.16551208496094,170.9399299621582,171.59757232666016,0.6576423645019531,3.5239410400390625,0.007518164532909081,0.3561859130859375,3
BCS3__Cow_25_66,3,161.9598592122396,163.04669189453125,8.334021104529489,153.1357421875,169.6971435546875,158.09121704101562,166.37191772460938,8.28070068359375,16.5614013671875,0.05145732495116711,6.65045166015625,3
BCS3__Cow_2_1015,4,163.9378890991211,165.9991912841797,7.801708372221616,153.0401611328125,170.7130126953125,161.1300811767578,168.80699920654297,7.676918029785156,17.6728515625,0.04758941581530613,3.443145751953125,3
BCS3__Cow_46,17,166.30252613740808,166.9835205078125,2.8907260337250613,160.20132446289062,170.52825927734375,163.9164581298828,168.49810791015625,4.5816497802734375,10.326934814453125,0.017382333875894274,2.159454345703125,3
BCS3__Cow_46_1,9,165.0003407796224,162.95556640625,4.720059712001648,161.05673217773438,175.4572296142578,162.1481475830078,167.6077117919922,5.459564208984375,14.400497436523438,0.02860636341536924,1.74853515625,3
BCS3__Cow_46_2,3,165.82331339518228,167.85400390625,7.872689828033399,157.13421630859375,172.48171997070312,162.49411010742188,170.16786193847656,7.6737518310546875,15.347503662109375,0.04747637510578248,4.627716064453125,3
BCS3__Cow_53,3,165.90165201822916,168.80862426757812,5.044699736574575,160.0765380859375,168.81979370117188,164.4425811767578,168.814208984375,4.3716278076171875,8.743255615234375,0.030407772769015386,0.01116943359375,3
BCS3__Cow_6_103,4,160.0979118347168,160.90287017822266,3.2584409607220532,155.54708862304688,163.038818359375,158.98358917236328,162.01719284057617,3.0336036682128906,7.491729736328125,0.020352801128886863,1.454864501953125,3
BCS4__Cow_1,9,173.53583441840277,173.9561004638672,1.0173803021833585,171.24554443359375,174.5413055419922,173.30677795410156,174.10971069335938,0.8029327392578125,3.2957611083984375,0.005862652550080282,0.191162109375,4
