bag_id,base_episode_angle_pooled,new_episode_angle_pooled,new_episode_angle_framemedian,abs_delta_pooled,signed_delta_pooled,abs_delta_framemedian
BCS4__Cow_33,169.3226,168.6569,168.6626,0.6657,-0.6657,0.66
BCS2__Cow_21_8029,164.2026,163.546,163.9774,0.6566,-0.6566,0.2252
BCS5__Cow_30_30,172.2116,171.5627,171.2962,0.6488,-0.6488,0.9154
BCS3__Cow_16,164.1467,163.5091,163.6523,0.6375,-0.6375,0.4943
BCS6__Cow_18_32,173.0762,172.4707,172.5073,0.6055,-0.6055,0.5689
BCS2__Cow_11_1,170.7947,170.19,170.2398,0.6047,-0.6047,0.5549
BCS5__Cow_8_NOTAG,170.1045,169.5044,169.8451,0.6001,-0.6001,0.2593
BCS3__Cow_14_0011,169.9281,169.3341,169.4069,0.5941,-0.5941,0.5213
BCS5__Cow_54,170.2772,169.7059,169.3122,0.5713,-0.5713,0.965
BCS5__Cow_24_7022,169.3071,168.7598,169.0582,0.5474,-0.5474,0.249
BCS4__Cow_17,172.2933,171.7544,171.779,0.5389,-0.5389,0.5144
BCS6__Cow_11_07,172.8685,172.3406,172.217,0.5279,-0.5279,0.6514
BCS6__Cow_28_3083,172.9156,172.4007,172.4484,0.5149,-0.5149,0.4671
BCS5__Cow_34_1,164.493,165.0033,164.5213,0.5103,0.5103,0.0283
BCS2__Cow_11_1,170.7947,170.2896,170.2475,0.5051,-0.5051,0.5472
BCS2__Cow_21_8029,164.2026,163.7045,163.9774,0.4981,-0.4981,0.2252
BCS5__Cow_29,171.1119,170.6284,170.5157,0.4834,-0.4834,0.5962
BCS4__Cow_4_1,163.2478,162.7807,162.3852,0.4671,-0.4671,0.8626
BCS6__Cow_45_9025,168.5202,168.0554,168.687,0.4648,-0.4648,0.1669
BCS6__Cow_47_68,171.1938,170.7322,170.6712,0.4615,-0.4615,0.5226
BCS5__Cow_15,169.6736,169.215,169.7295,0.4586,-0.4586,0.0559
BCS6__Cow_7_9008,168.9982,168.5434,168.2996,0.4547,-0.4547,0.6985
BCS4__Cow_9,164.2717,163.8237,163.2863,0.448,-0.448,0.9854
BCS6__Cow_9_1044,167.544,167.1078,167.4737,0.4361,-0.4361,0.0703
BCS4__Cow_19,170.6002,170.1682,170.1601,0.432,-0.432,0.44
BCS6__Cow_45_9025,168.5202,168.9472,169.4609,0.427,0.427,0.9407
BCS3__Cow_46_1,162.4482,162.0244,162.0202,0.4238,-0.4238,0.428
BCS6__Cow_3_25,173.5926,173.1717,173.0588,0.421,-0.421,0.5338
BCS4__Cow_7,171.9101,171.4931,171.4482,0.417,-0.417,0.4619
BCS5__Cow_13_8001,170.3966,170.8122,171.1967,0.4156,0.4156,0.8001
BCS4__Cow_2,173.3733,172.961,172.9993,0.4123,-0.4123,0.374
BCS4__Cow_23,169.3807,168.9705,169.0751,0.4102,-0.4102,0.3056
BCS5__Cow_23_1067,169.7626,169.363,169.8199,0.3996,-0.3996,0.0573
BCS6__Cow_19_29,172.4235,172.032,172.3632,0.3915,-0.3915,0.0603
BCS5__Cow_37,171.822,171.4311,171.9208,0.391,-0.391,0.0988
BCS6__Cow_24_08,173.6606,173.2775,173.2054,0.3831,-0.3831,0.4552
BCS6__Cow_47_68,171.1938,170.8124,170.861,0.3814,-0.3814,0.3327
BCS6__Cow_24_08,173.6606,173.2802,173.3676,0.3804,-0.3804,0.293
BCS6__Cow_24_08,173.6606,173.2802,173.3676,0.3804,-0.3804,0.293
BCS4__Cow_48,170.0728,169.6968,169.8971,0.376,-0.376,0.1757
BCS6__Cow_36,172.3172,171.9429,171.9579,0.3744,-0.3744,0.3593
BCS3__Cow_2_1015,166.1065,165.7333,161.9744,0.3732,-0.3732,4.1321
BCS3__Cow_2_1015,166.1065,165.7333,165.9911,0.3732,-0.3732,0.1154
BCS4__Cow_27_9008,166.9325,166.5691,166.5691,0.3633,-0.3633,0.3633
BCS6__Cow_3_25,173.5926,173.2319,173.1428,0.3607,-0.3607,0.4499
BCS6__Cow_36_1,172.1313,172.4885,172.5153,0.3572,0.3572,0.384
BCS6__Cow_18_32,173.0762,172.7195,172.694,0.3567,-0.3567,0.3822
BCS6__Cow_16_06,172.7114,172.358,172.536,0.3534,-0.3534,0.1754
BCS5__Cow_28_4024,164.4756,164.135,165.0484,0.3406,-0.3406,0.5728
BCS5__Cow_31_15,172.0015,171.6628,171.6628,0.3387,-0.3387,0.3387
BCS6__Cow_29_NOTAG,170.0253,169.688,170.1489,0.3373,-0.3373,0.1237
BCS6__Cow_52_29,173.0735,172.7448,172.4739,0.3287,-0.3287,0.5995
BCS4__Cow_42,169.31,168.9861,170.0599,0.3239,-0.3239,0.7499
BCS5__Cow_27,168.9407,168.6179,168.961,0.3228,-0.3228,0.0203
BCS3__Cow_22_1,171.4064,171.0943,170.9988,0.3121,-0.3121,0.4077
BCS4__Cow_30,170.3642,170.0526,169.8247,0.3116,-0.3116,0.5396
BCS4__Cow_47_1,166.424,166.1143,166.5624,0.3097,-0.3097,0.1384
BCS6__Cow_16_06,172.7114,172.4049,172.536,0.3065,-0.3065,0.1754
BCS3__Cow_22_1,171.4064,171.1012,170.9988,0.3052,-0.3052,0.4077
BCS5__Cow_43,169.0247,168.7223,168.7223,0.3025,-0.3025,0.3025
BCS4__Cow_55,170.6721,170.372,170.3833,0.3001,-0.3001,0.2888
BCS5__Cow_37_and_38,170.9373,170.6377,170.5078,0.2997,-0.2997,0.4296
BCS5__Cow_28,170.2135,169.9165,169.8996,0.2971,-0.2971,0.3139
BCS4__Cow_8,169.6336,169.3398,169.6703,0.2938,-0.2938,0.0367
BCS6__Cow_26_6,172.8825,172.5911,172.5911,0.2914,-0.2914,0.2914
BCS6__Cow_26_6,172.8825,172.5911,172.5911,0.2914,-0.2914,0.2914
BCS6__Cow_26_6,172.8825,172.5911,172.5911,0.2914,-0.2914,0.2914
BCS6__Cow_26_6,172.8825,172.5911,172.5911,0.2914,-0.2914,0.2914
BCS4__Cow_42,169.31,169.0189,170.0599,0.2911,-0.2911,0.7499
BCS3__Cow_20_0029,169.9026,170.1934,170.1373,0.2908,0.2908,0.2347
BCS5__Cow_8_NOTAG,170.1045,169.8223,169.8451,0.2821,-0.2821,0.2593
BCS6__Cow_45_9025,168.5202,168.2395,168.687,0.2807,-0.2807,0.1669
BCS4__Cow_26_5051,165.9182,166.192,166.2638,0.2738,0.2738,0.3455
BCS4__Cow_32_0035,168.3115,168.0485,168.083,0.263,-0.263,0.2285
BCS6__Cow_36,172.3172,172.0578,172.0898,0.2594,-0.2594,0.2274
BCS6__Cow_12_2014,172.7046,172.4453,172.4787,0.2593,-0.2593,0.2259
BCS6__Cow_12_2014,172.7046,172.4456,172.4787,0.259,-0.259,0.2259
BCS2__Cow_11,172.5874,172.33,172.3686,0.2574,-0.2574,0.2188
BCS5__Cow_50,173.293,173.0385,173.147,0.2545,-0.2545,0.146
BCS6__Cow_47_68,171.1938,170.9431,171.1514,0.2507,-0.2507,0.0424
BCS5__Cow_10_0029,171.1487,171.3981,171.5932,0.2495,0.2495,0.4446
BCS3__Cow_46_2,166.6349,166.3865,167.854,0.2484,-0.2484,1.2191
BCS3__Cow_46_2,166.6349,166.3865,168.121,0.2484,-0.2484,1.486
BCS4__Cow_10_2038,171.4945,171.2523,171.2523,0.2422,-0.2422,0.2422
BCS6__Cow_24_08,173.6606,173.4185,173.3746,0.2421,-0.2421,0.286
BCS4__Cow_10,169.024,168.7827,169.4766,0.2413,-0.2413,0.4526
BCS4__Cow_33,169.3226,169.0888,169.0279,0.2338,-0.2338,0.2947
