bag_id,base_episode_angle_pooled,new_episode_angle_pooled,new_episode_angle_framemedian,abs_delta_pooled,signed_delta_pooled,abs_delta_framemedian
BCS5__Cow_32,172.5406,172.5399,173.0462,0.0007,-0.0007,0.5056
BCS5__Cow_50,173.293,173.2928,173.3116,0.0002,-0.0002,0.0186
BCS5__Cow_1_27,170.659,170.659,170.7919,0.0,0.0,0.133
BCS4__Cow_22_6005,170.816,170.816,170.912,0.0,0.0,0.096
BCS5__Cow_15,169.6736,169.6736,169.6341,0.0,0.0,0.0395
BCS5__Cow_13_8001,170.3966,170.3966,170.8188,0.0,0.0,0.4222
BCS5__Cow_13,172.7589,172.7589,172.804,0.0,0.0,0.0452
BCS5__Cow_12_NOTAG,171.8617,171.8617,171.1471,0.0,0.0,0.7146
BCS4__Cow_6,168.2713,168.2713,168.2683,0.0,0.0,0.0031
BCS4__Cow_55,170.6721,170.6721,172.3004,0.0,0.0,1.6283
BCS4__Cow_51_0035,166.4742,166.4742,167.1293,0.0,0.0,0.655
BCS4__Cow_51,170.2203,170.2203,170.3634,0.0,0.0,0.1431
BCS4__Cow_4_1,163.2478,163.2478,162.8762,0.0,0.0,0.3716
BCS4__Cow_49,165.7921,165.7921,168.5838,0.0,0.0,2.7917
BCS4__Cow_48,170.0728,170.0728,169.8971,0.0,0.0,0.1757
BCS4__Cow_47_1,166.424,166.424,167.729,0.0,0.0,1.305
BCS4__Cow_44_1,169.407,169.407,169.5339,0.0,0.0,0.1268
BCS4__Cow_42,169.31,169.31,170.1575,0.0,0.0,0.8475
BCS2__Cow_5_1,171.3486,171.3486,170.7408,0.0,0.0,0.6078
BCS4__Cow_48,170.0728,170.0728,169.8971,0.0,0.0,0.1757
BCS4__Cow_47_1,166.424,166.424,167.729,0.0,0.0,1.305
BCS6__Cow_9_1044,167.544,167.544,167.934,0.0,0.0,0.3901
BCS6__Cow_7_9008,168.9982,168.9982,169.0392,0.0,0.0,0.0411
BCS6__Cow_36_1,172.1313,172.1313,172.0548,0.0,0.0,0.0764
BCS6__Cow_35,172.9936,172.9936,173.1172,0.0,0.0,0.1236
BCS5__Cow_50_49,169.2381,169.2381,168.9834,0.0,0.0,0.2547
BCS5__Cow_50,173.293,173.293,173.3116,0.0,0.0,0.0186
BCS5__Cow_48_1018,166.4331,166.4331,166.4699,0.0,0.0,0.0367
BCS5__Cow_45,169.9891,169.9891,169.8477,0.0,0.0,0.1414
BCS5__Cow_43,169.0247,169.0247,168.7223,0.0,0.0,0.3025
BCS5__Cow_37_and_38,170.9373,170.9373,170.4535,0.0,0.0,0.4839
BCS4__Cow_19_0037,169.5573,169.5573,170.9981,0.0,0.0,1.4407
BCS3__Cow_2_1015,166.1065,166.1065,165.9992,0.0,0.0,0.1073
BCS5__Cow_27,168.9407,168.9407,169.1527,0.0,0.0,0.2119
BCS5__Cow_25,167.9445,167.9445,168.1942,0.0,0.0,0.2497
BCS5__Cow_24_7022,169.3071,169.3071,169.0582,0.0,0.0,0.249
BCS5__Cow_24,171.4778,171.4778,171.5249,0.0,0.0,0.0471
BCS5__Cow_21,171.0536,171.0536,171.1505,0.0,0.0,0.0969
BCS4__Cow_44_1,169.407,169.407,169.5339,0.0,0.0,0.1268
BCS6__Cow_7_9008,168.9982,168.9982,169.0392,0.0,0.0,0.0411
BCS6__Cow_52_29,173.0735,173.0735,172.7494,0.0,0.0,0.324
BCS4__Cow_15_68,170.6436,170.6436,171.347,0.0,0.0,0.7034
BCS4__Cow_6,168.2713,168.2713,168.2683,0.0,0.0,0.0031
BCS4__Cow_55,170.6721,170.6721,172.3004,0.0,0.0,1.6283
BCS4__Cow_51_0035,166.4742,166.4742,167.1293,0.0,0.0,0.655
BCS4__Cow_51,170.2203,170.2203,170.3634,0.0,0.0,0.1431
BCS4__Cow_4_1,163.2478,163.2478,162.8762,0.0,0.0,0.3716
BCS4__Cow_49,165.7921,165.7921,168.5838,0.0,0.0,2.7917
BCS2__Cow_21_8029,164.2026,164.2026,164.3908,0.0,0.0,0.1882
BCS4__Cow_30,170.3642,170.3642,169.9082,0.0,0.0,0.4561
BCS6__Cow_2_6006,171.9256,171.9256,171.942,0.0,0.0,0.0165
BCS5__Cow_7_6022,169.1231,169.1231,168.2647,0.0,0.0,0.8584
BCS3__Cow_16,164.1467,164.1467,163.6712,0.0,0.0,0.4754
BCS3__Cow_14,162.6376,162.6376,166.9394,0.0,0.0,4.3017
BCS2__Cow_21_8029,164.2026,164.2026,164.3908,0.0,0.0,0.1882
BCS2__Cow_11_2,170.0704,170.0704,170.7906,0.0,0.0,0.7203
BCS2__Cow_11,172.5874,172.5874,172.578,0.0,0.0,0.0093
BCS6__Cow_9_1044,167.544,167.544,167.934,0.0,0.0,0.3901
BCS4__Cow_9,164.2717,164.2717,163.2863,0.0,0.0,0.9854
BCS4__Cow_8,169.6336,169.6336,169.7507,0.0,0.0,0.1171
BCS4__Cow_7,171.9101,171.9101,172.049,0.0,0.0,0.1389
BCS5__Cow_3,171.8824,171.8824,171.02,0.0,0.0,0.8624
BCS5__Cow_29,171.1119,171.1119,172.1473,0.0,0.0,1.0354
BCS5__Cow_28_4024,164.4756,164.4756,165.0484,0.0,0.0,0.5728
BCS4__Cow_55,170.6721,170.6721,172.3004,0.0,0.0,1.6283
BCS4__Cow_51_0035,166.4742,166.4742,167.1293,0.0,0.0,0.655
BCS4__Cow_51,170.2203,170.2203,170.3634,0.0,0.0,0.1431
BCS4__Cow_4_1,163.2478,163.2478,162.8762,0.0,0.0,0.3716
BCS4__Cow_49,165.7921,165.7921,168.5838,0.0,0.0,2.7917
BCS4__Cow_55,170.6721,170.6721,172.3004,0.0,0.0,1.6283
BCS4__Cow_10_2038,171.4945,171.4945,171.6048,0.0,0.0,0.1103
BCS3__Cow_6_103,159.5771,159.5771,160.9029,0.0,0.0,1.3258
BCS3__Cow_46_2,166.6349,166.6349,167.854,0.0,0.0,1.2191
BCS3__Cow_2_1015,166.1065,166.1065,165.9992,0.0,0.0,0.1073
BCS3__Cow_25_66,162.6205,162.6205,163.0467,0.0,0.0,0.4262
BCS3__Cow_20_0029,169.9026,169.9026,169.9301,0.0,0.0,0.0275
BCS3__Cow_16_1004,165.8256,165.8256,167.0959,0.0,0.0,1.2703
BCS3__Cow_16,164.1467,164.1467,163.6712,0.0,0.0,0.4754
BCS3__Cow_14,162.6376,162.6376,166.9394,0.0,0.0,4.3017
BCS4__Cow_22_6005,170.816,170.816,170.912,0.0,0.0,0.096
BCS4__Cow_19_0037,169.5573,169.5573,170.9981,0.0,0.0,1.4407
BCS5__Cow_1_27,170.659,170.659,170.7919,0.0,0.0,0.133
BCS5__Cow_13_8001,170.3966,170.3966,170.8188,0.0,0.0,0.4222
BCS5__Cow_13,172.7589,172.7589,172.5357,0.0,0.0,0.2232
BCS4__Cow_42,169.31,169.31,170.1575,0.0,0.0,0.8475
BCS4__Cow_41,173.5825,173.5825,173.5825,0.0,0.0,0.0
BCS4__Cow_4,171.3765,171.3765,170.8909,0.0,0.0,0.4856
BCS5__Cow_6_5051,168.8079,168.8079,171.6386,0.0,0.0,2.8307
BCS5__Cow_54,170.2772,170.2772,170.3335,0.0,0.0,0.0563
BCS5__Cow_13,172.7589,172.7589,172.804,0.0,0.0,0.0452
BCS5__Cow_12_NOTAG,171.8617,171.8617,171.1471,0.0,0.0,0.7146
BCS5__Cow_10_0029,171.1487,171.1487,171.1713,0.0,0.0,0.0227
BCS4__Cow_6,168.2713,168.2713,168.2683,0.0,0.0,0.0031
BCS5__Cow_24,171.4778,171.4778,171.5249,0.0,0.0,0.0471
BCS5__Cow_21,171.0536,171.0536,171.1505,0.0,0.0,0.0969
BCS4__Cow_51_0035,166.4742,166.4742,167.1293,0.0,0.0,0.655
BCS4__Cow_51,170.2203,170.2203,170.3634,0.0,0.0,0.1431
BCS4__Cow_4_1,163.2478,163.2478,162.8762,0.0,0.0,0.3716
BCS5__Cow_32,172.5406,172.5406,172.8797,0.0,0.0,0.3392
BCS5__Cow_31_2024,169.4,169.4,169.4,0.0,0.0,0.0
BCS5__Cow_31_15,172.0015,172.0015,171.9007,0.0,0.0,0.1008
BCS6__Cow_35,172.9936,172.9936,173.1172,0.0,0.0,0.1236
BCS6__Cow_32_34,174.2545,174.2545,174.1654,0.0,0.0,0.0892
BCS6__Cow_2_6006,171.9256,171.9256,171.942,0.0,0.0,0.0165
BCS6__Cow_18,170.9173,170.9173,171.2469,0.0,0.0,0.3296
BCS6__Cow_12_2014,172.7046,172.7046,173.4295,0.0,0.0,0.7249
BCS4__Cow_27_9008,166.9325,166.9325,168.1223,0.0,0.0,1.1898
BCS4__Cow_26_5051,165.9182,165.9182,166.039,0.0,0.0,0.1208
BCS4__Cow_26,170.1265,170.1265,170.0129,0.0,0.0,0.1136
BCS5__Cow_6_5051,168.8079,168.8079,171.6386,0.0,0.0,2.8307
BCS5__Cow_54,170.2772,170.2772,170.3335,0.0,0.0,0.0563
BCS5__Cow_48_1018,166.4331,166.4331,166.4699,0.0,0.0,0.0367
BCS5__Cow_45,169.9891,169.9891,169.8477,0.0,0.0,0.1414
BCS5__Cow_37_and_38,170.9373,170.9373,170.4535,0.0,0.0,0.4839
BCS4__Cow_47_1,166.424,166.424,167.729,0.0,0.0,1.305
BCS5__Cow_34,171.148,171.148,171.2102,0.0,0.0,0.0622
BCS5__Cow_32,172.5406,172.5406,172.8797,0.0,0.0,0.3392
BCS5__Cow_31_2024,169.4,169.4,169.4,0.0,0.0,0.0
BCS5__Cow_3,171.8824,171.8824,171.02,0.0,0.0,0.8624
BCS5__Cow_28_4024,164.4756,164.4756,165.0484,0.0,0.0,0.5728
BCS5__Cow_27,168.9407,168.9407,169.1527,0.0,0.0,0.2119
BCS5__Cow_24_7022,169.3071,169.3071,169.0582,0.0,0.0,0.249
BCS4__Cow_30,170.3642,170.3642,169.9082,0.0,0.0,0.4561
BCS4__Cow_29_7007,163.2271,163.2271,165.9287,0.0,0.0,2.7016
BCS4__Cow_27_9008,166.9325,166.9325,168.1223,0.0,0.0,1.1898
BCS4__Cow_26_5051,165.9182,165.9182,166.039,0.0,0.0,0.1208
BCS4__Cow_26,170.1265,170.1265,170.0129,0.0,0.0,0.1136
BCS4__Cow_23,169.3807,169.3807,169.4811,0.0,0.0,0.1004
BCS4__Cow_22_6005,170.816,170.816,170.912,0.0,0.0,0.096
BCS4__Cow_2,173.3733,173.3733,173.7916,0.0,0.0,0.4184
BCS4__Cow_2,173.3733,173.3733,173.7916,0.0,0.0,0.4184
BCS4__Cow_19_0037,169.5573,169.5573,170.9981,0.0,0.0,1.4407
BCS3__Cow_2_1015,166.1065,166.1065,165.9992,0.0,0.0,0.1073
BCS3__Cow_25_66,162.6205,162.6205,163.0467,0.0,0.0,0.4262
BCS3__Cow_22_1,171.4064,171.4064,171.2455,0.0,0.0,0.1609
BCS4__Cow_17,172.2933,172.2933,172.0174,0.0,0.0,0.2759
BCS4__Cow_15_68,170.6436,170.6436,171.347,0.0,0.0,0.7034
BCS4__Cow_10_2038,171.4945,171.4945,171.6048,0.0,0.0,0.1103
BCS3__Cow_14,162.6376,162.6376,166.9394,0.0,0.0,4.3017
BCS4__Cow_31,169.2404,169.2404,169.1912,0.0,0.0,0.0492
BCS4__Cow_30,170.3642,170.3642,169.9082,0.0,0.0,0.4561
BCS4__Cow_29_7007,163.2271,163.2271,165.9287,0.0,0.0,2.7016
BCS4__Cow_27_9008,166.9325,166.9325,168.1223,0.0,0.0,1.1898
BCS4__Cow_26_5051,165.9182,165.9182,166.039,0.0,0.0,0.1208
BCS4__Cow_26,170.1265,170.1265,170.0129,0.0,0.0,0.1136
BCS4__Cow_23,169.3807,169.3807,169.4811,0.0,0.0,0.1004
BCS4__Cow_22_6005,170.816,170.816,170.912,0.0,0.0,0.096
BCS5__Cow_34,171.148,171.148,171.2102,0.0,0.0,0.0622
BCS5__Cow_32,172.5406,172.5406,172.8797,0.0,0.0,0.3392
BCS5__Cow_31_2024,169.4,169.4,169.4,0.0,0.0,0.0
BCS4__Cow_47_1,166.424,166.424,167.729,0.0,0.0,1.305
BCS4__Cow_44_1,169.407,169.407,169.5339,0.0,0.0,0.1268
BCS4__Cow_4,171.3765,171.3765,170.8909,0.0,0.0,0.4856
BCS2__Cow_11,172.5874,172.5874,172.5668,0.0,0.0,0.0205
BCS6__Cow_9_1044,167.544,167.544,167.934,0.0,0.0,0.3901
BCS6__Cow_7_9008,168.9982,168.9982,169.0392,0.0,0.0,0.0411
BCS6__Cow_52_29,173.0735,173.0735,172.7494,0.0,0.0,0.324
BCS6__Cow_4_103,172.5748,172.5748,172.5046,0.0,0.0,0.0702
BCS6__Cow_47_68,171.1938,171.1938,171.3756,0.0,0.0,0.1818
BCS3__Cow_22,170.9117,170.9117,171.1082,0.0,0.0,0.1964
BCS3__Cow_20_0029,169.9026,169.9026,169.9301,0.0,0.0,0.0275
BCS3__Cow_16_1004,165.8256,165.8256,167.0959,0.0,0.0,1.2703
BCS3__Cow_16,164.1467,164.1467,163.6712,0.0,0.0,0.4754
BCS3__Cow_14,162.6376,162.6376,166.9394,0.0,0.0,4.3017
BCS4__Cow_19,170.6002,170.6002,170.832,0.0,0.0,0.2319
BCS4__Cow_17,172.2933,172.2933,172.0174,0.0,0.0,0.2759
BCS4__Cow_15_68,170.6436,170.6436,171.347,0.0,0.0,0.7034
BCS4__Cow_10_2038,171.4945,171.4945,171.6048,0.0,0.0,0.1103
BCS3__Cow_6_103,159.5771,159.5771,160.9029,0.0,0.0,1.3258
BCS3__Cow_46_1,162.4482,162.4482,162.9556,0.0,0.0,0.5073
BCS3__Cow_2_1015,166.1065,166.1065,165.9992,0.0,0.0,0.1073
BCS5__Cow_50,173.293,173.293,173.3116,0.0,0.0,0.0186
BCS5__Cow_48_1018,166.4331,166.4331,166.4699,0.0,0.0,0.0367
BCS5__Cow_45,169.9891,169.9891,169.8477,0.0,0.0,0.1414
BCS5__Cow_44_3008,164.1025,164.1025,164.1025,0.0,0.0,0.0
BCS5__Cow_43,169.0247,169.0247,168.7223,0.0,0.0,0.3025
BCS6__Cow_9_1044,167.544,167.544,167.934,0.0,0.0,0.3901
BCS6__Cow_7_9008,168.9982,168.9982,169.0392,0.0,0.0,0.0411
BCS4__Cow_10,169.024,169.024,169.4766,0.0,0.0,0.4526
BCS3__Cow_6_103,159.5771,159.5771,160.9029,0.0,0.0,1.3258
BCS3__Cow_53,168.2141,168.2141,168.8086,0.0,0.0,0.5945
BCS3__Cow_46_2,166.6349,166.6349,167.854,0.0,0.0,1.2191
BCS3__Cow_46_1,162.4482,162.4482,162.9556,0.0,0.0,0.5073
BCS2__Cow_21_8029,164.2026,164.2026,164.3908,0.0,0.0,0.1882
BCS2__Cow_11_2,170.0704,170.0704,170.7906,0.0,0.0,0.7203
BCS5__Cow_13_8001,170.3966,170.3966,170.8188,0.0,0.0,0.4222
BCS5__Cow_13,172.7589,172.7589,172.804,0.0,0.0,0.0452
BCS5__Cow_12_NOTAG,171.8617,171.8617,171.1471,0.0,0.0,0.7146
BCS5__Cow_6_5051,168.8079,168.8079,171.6386,0.0,0.0,2.8307
BCS5__Cow_54,170.2772,170.2772,170.3335,0.0,0.0,0.0563
BCS5__Cow_50_49,169.2381,169.2381,168.9834,0.0,0.0,0.2547
BCS4__Cow_19_0037,169.5573,169.5573,170.9981,0.0,0.0,1.4407
BCS5__Cow_1_27,170.659,170.659,170.7919,0.0,0.0,0.133
BCS5__Cow_13_8001,170.3966,170.3966,170.8188,0.0,0.0,0.4222
BCS6__Cow_36_1,172.1313,172.1313,172.0548,0.0,0.0,0.0764
BCS4__Cow_15_68,170.6436,170.6436,171.347,0.0,0.0,0.7034
BCS4__Cow_15_68,170.6436,170.6436,171.347,0.0,0.0,0.7034
BCS4__Cow_10_2038,171.4945,171.4945,171.6048,0.0,0.0,0.1103
BCS3__Cow_6_103,159.5771,159.5771,160.9029,0.0,0.0,1.3258
BCS3__Cow_53,168.2141,168.2141,168.8086,0.0,0.0,0.5945
BCS3__Cow_46_2,166.6349,166.6349,167.854,0.0,0.0,1.2191
BCS6__Cow_18_32,173.0762,173.0762,173.2106,0.0,0.0,0.1344
BCS6__Cow_18,170.9173,170.9173,171.2469,0.0,0.0,0.3296
BCS5__Cow_37_and_38,170.9373,170.9373,170.4535,0.0,0.0,0.4839
BCS5__Cow_37,171.822,171.822,172.1435,0.0,0.0,0.3214
BCS5__Cow_34_1,164.493,164.493,164.3902,0.0,0.0,0.1028
BCS5__Cow_34,171.148,171.148,171.2102,0.0,0.0,0.0622
BCS6__Cow_35,172.9936,172.9936,173.1172,0.0,0.0,0.1236
BCS6__Cow_32_34,174.2545,174.2545,174.1654,0.0,0.0,0.0892
BCS5__Cow_10_0029,171.1487,171.1487,171.2304,0.0,0.0,0.0818
BCS4__Cow_55,170.6721,170.6721,172.3004,0.0,0.0,1.6283
BCS4__Cow_51,170.2203,170.2203,170.4062,0.0,0.0,0.1859
BCS2__Cow_5_1,171.3486,171.3486,170.7408,0.0,0.0,0.6078
BCS6__Cow_45_9025,168.5202,168.5202,168.687,0.0,0.0,0.1669
BCS6__Cow_3_25,173.5926,173.5926,173.5926,0.0,0.0,0.0
BCS6__Cow_36_1,172.1313,172.1313,172.0548,0.0,0.0,0.0764
BCS6__Cow_36,172.3172,172.3172,172.5595,0.0,0.0,0.2423
BCS5__Cow_7_6022,169.1231,169.1231,168.2647,0.0,0.0,0.8584
BCS5__Cow_6_5051,168.8079,168.8079,171.6386,0.0,0.0,2.8307
BCS5__Cow_54,170.2772,170.2772,170.3335,0.0,0.0,0.0563
BCS4__Cow_10_2038,171.4945,171.4945,171.6048,0.0,0.0,0.1103
BCS5__Cow_31_15,172.0015,172.0015,171.9007,0.0,0.0,0.1008
BCS5__Cow_30_30,172.2116,172.2116,172.2082,0.0,0.0,0.0034
BCS5__Cow_3,171.8824,171.8824,171.02,0.0,0.0,0.8624
BCS4__Cow_10,169.024,169.024,169.4766,0.0,0.0,0.4526
BCS5__Cow_17_17,170.9242,170.9242,171.5317,0.0,0.0,0.6074
BCS5__Cow_3,171.8824,171.8824,170.8676,0.0,0.0,1.0148
BCS5__Cow_28_4024,164.4756,164.4756,165.0484,0.0,0.0,0.5728
BCS5__Cow_24,171.4778,171.4778,171.5249,0.0,0.0,0.0471
BCS6__Cow_28_3083,172.9156,172.9156,172.9924,0.0,0.0,0.0768
BCS6__Cow_26_6,172.8825,172.8825,172.9128,0.0,0.0,0.0303
BCS6__Cow_24_08,173.6606,173.6606,173.5109,0.0,0.0,0.1497
BCS6__Cow_19_29,172.4235,172.4235,172.4241,0.0,0.0,0.0006
BCS6__Cow_2_6006,171.9256,171.9256,172.1883,0.0,0.0,0.2628
BCS6__Cow_29_NOTAG,170.0253,170.0253,170.1867,0.0,0.0,0.1615
BCS5__Cow_10_0029,171.1487,171.1487,171.1713,0.0,0.0,0.0227
BCS5__Cow_53_30,170.9767,170.9767,170.132,0.0,0.0,0.8446
BCS5__Cow_50_49,169.2381,169.2381,168.9834,0.0,0.0,0.2547
BCS5__Cow_50,173.293,173.293,173.3116,0.0,0.0,0.0186
BCS5__Cow_48_1018,166.4331,166.4331,166.4699,0.0,0.0,0.0367
BCS5__Cow_45,169.9891,169.9891,169.8477,0.0,0.0,0.1414
BCS5__Cow_44_3008,164.1025,164.1025,164.1025,0.0,0.0,0.0
BCS5__Cow_43,169.0247,169.0247,168.7223,0.0,0.0,0.3025
BCS5__Cow_37_and_38,170.9373,170.9373,170.4535,0.0,0.0,0.4839
BCS6__Cow_16_06,172.7114,172.7114,172.9491,0.0,0.0,0.2378
BCS6__Cow_13_66,171.2122,171.2122,170.4462,0.0,0.0,0.7661
BCS6__Cow_12_2014,172.7046,172.7046,173.4295,0.0,0.0,0.7249
BCS6__Cow_11_07,172.8685,172.8685,172.8202,0.0,0.0,0.0483
BCS5__Cow_8_NOTAG,170.1045,170.1045,170.5821,0.0,0.0,0.4777
BCS4__Cow_33,169.3226,169.3226,169.0742,0.0,0.0,0.2484
BCS4__Cow_9,164.2717,164.2717,163.2863,0.0,0.0,0.9854
BCS4__Cow_8,169.6336,169.6336,169.7507,0.0,0.0,0.1171
BCS4__Cow_7,171.9101,171.9101,172.049,0.0,0.0,0.1389
BCS5__Cow_3,171.8824,171.8824,171.02,0.0,0.0,0.8624
BCS5__Cow_29,171.1119,171.1119,172.1473,0.0,0.0,1.0354
BCS5__Cow_28_4024,164.4756,164.4756,165.0484,0.0,0.0,0.5728
BCS5__Cow_28,170.2135,170.2135,169.9977,0.0,0.0,0.2158
BCS5__Cow_27,168.9407,168.9407,169.1527,0.0,0.0,0.2119
BCS5__Cow_25,167.9445,167.9445,168.1942,0.0,0.0,0.2497
BCS5__Cow_24_7022,169.3071,169.3071,169.0582,0.0,0.0,0.249
BCS5__Cow_24,171.4778,171.4778,171.5249,0.0,0.0,0.0471
BCS5__Cow_23_1067,169.7626,169.7626,169.8199,0.0,0.0,0.0573
BCS5__Cow_21,171.0536,171.0536,171.1505,0.0,0.0,0.0969
BCS5__Cow_1_27,170.659,170.659,170.7919,0.0,0.0,0.133
BCS4__Cow_41,173.5825,173.5825,173.5825,0.0,0.0,0.0
BCS5__Cow_37,171.822,171.822,172.1435,0.0,0.0,0.3214
BCS5__Cow_34_1,164.493,164.493,164.3902,0.0,0.0,0.1028
BCS5__Cow_34,171.148,171.148,171.2102,0.0,0.0,0.0622
BCS5__Cow_32,172.5406,172.5406,172.8797,0.0,0.0,0.3392
BCS5__Cow_31_2024,169.4,169.4,169.4,0.0,0.0,0.0
BCS5__Cow_29,171.1119,171.1119,172.1473,0.0,0.0,1.0354
BCS5__Cow_28_4024,164.4756,164.4756,165.0484,0.0,0.0,0.5728
BCS5__Cow_28,170.2135,170.2135,169.9977,0.0,0.0,0.2158
BCS5__Cow_27,168.9407,168.9407,169.1527,0.0,0.0,0.2119
BCS5__Cow_25,167.9445,167.9445,168.1942,0.0,0.0,0.2497
BCS3__Cow_25_66,162.6205,162.6205,163.0467,0.0,0.0,0.4262
BCS3__Cow_22_1,171.4064,171.4064,171.2455,0.0,0.0,0.1609
BCS3__Cow_20_0029,169.9026,169.9026,169.9301,0.0,0.0,0.0275
BCS3__Cow_16_1004,165.8256,165.8256,167.0959,0.0,0.0,1.2703
BCS4__Cow_48,170.0728,170.0728,169.8971,0.0,0.0,0.1757
BCS4__Cow_4,171.3765,171.3765,170.8909,0.0,0.0,0.4856
BCS4__Cow_27_9008,166.9325,166.9325,168.1223,0.0,0.0,1.1898
BCS4__Cow_26_5051,165.9182,165.9182,166.039,0.0,0.0,0.1208
BCS4__Cow_26,170.1265,170.1265,170.0129,0.0,0.0,0.1136
BCS3__Cow_16,164.1467,164.1467,163.6712,0.0,0.0,0.4754
BCS2__Cow_11,172.5874,172.5874,172.5668,0.0,0.0,0.0205
BCS4__Cow_1,173.9303,173.9303,173.9561,0.0,0.0,0.0258
BCS3__Cow_6_103,159.5771,159.5771,160.9029,0.0,0.0,1.3258
BCS3__Cow_53,168.2141,168.2141,168.8086,0.0,0.0,0.5945
BCS3__Cow_46_2,166.6349,166.6349,167.854,0.0,0.0,1.2191
BCS3__Cow_46_1,162.4482,162.4482,162.9556,0.0,0.0,0.5073
BCS3__Cow_46,166.4163,166.4163,166.9835,0.0,0.0,0.5672
BCS4__Cow_30,170.3642,170.3642,169.9082,0.0,0.0,0.4561
BCS4__Cow_29_7007,163.2271,163.2271,165.9287,0.0,0.0,2.7016
BCS3__Cow_20_0029,169.9026,169.9026,169.9301,0.0,0.0,0.0275
BCS3__Cow_16_1004,165.8256,165.8256,167.0959,0.0,0.0,1.2703
BCS4__Cow_23,169.3807,169.3807,169.4811,0.0,0.0,0.1004
BCS3__Cow_14,162.6376,162.6376,166.9394,0.0,0.0,4.3017
BCS3__Cow_22_1,171.4064,171.4064,171.2455,0.0,0.0,0.1609
BCS3__Cow_22,170.9117,170.9117,171.1082,0.0,0.0,0.1964
BCS3__Cow_25_66,162.6205,162.6205,163.0467,0.0,0.0,0.4262
BCS5__Cow_15,169.6736,169.6736,169.6341,0.0,0.0,0.0395
BCS3__Cow_14_0011,169.9281,169.9281,169.816,0.0,0.0,0.1121
BCS2__Cow_11_1,170.7947,170.7947,170.8619,0.0,0.0,0.0672
BCS2__Cow_11_2,170.0704,170.0704,170.7906,0.0,0.0,0.7203
BCS2__Cow_21_8029,164.2026,164.2026,164.3908,0.0,0.0,0.1882
BCS5__Cow_17_17,170.9242,170.9242,171.5317,0.0,0.0,0.6074
BCS4__Cow_32_0035,168.3115,168.3115,168.3901,0.0,0.0,0.0786
BCS4__Cow_31,169.2404,169.2404,169.1912,0.0,0.0,0.0492
BCS5__Cow_24_7022,169.3071,169.3071,169.0582,0.0,0.0,0.249
BCS5__Cow_24,171.4778,171.4778,171.5249,0.0,0.0,0.0471
BCS5__Cow_21,171.0536,171.0536,171.1505,0.0,0.0,0.0969
BCS4__Cow_2,173.3733,173.3733,173.7916,0.0,0.0,0.4184
