acc5,balanced_acc5,macro_f1_5,weighted_f1_5,acc3_final,macro_f1_3_final,weighted_f1_3_final,qwk5,qwk3_final,mae_bcs,within_one_acc,lean_precision_final,lean_recall_final,high_precision_final,high_recall_final,low_precision,low_recall,low_specificity,low_pr_auc,low_roc_auc,high_branch_precision,high_branch_recall,high_branch_specificity,high_branch_pr_auc,high_branch_roc_auc,lean_to_high_errors,high_to_lean_errors,bcs2_to_bcs6_errors,bcs6_to_bcs2_or_3_errors,attn_entropy_mean,attn_entropy_std,fold_id,variant,raw_test_bags,eligible_test_bags,test_coverage
0.5490196078431373,0.49833333333333335,0.4380030959752322,0.4959023857220907,0.6470588235294118,0.6903392936121818,0.6656408693508362,0.5495726495726496,0.5960015088645794,0.6666666666666666,0.8235294117647058,0.34782608695652173,0.7272727272727273,0.9,1.0,0.3333333333333333,0.45454545454545453,0.75,0.26474954354211316,0.5772727272727273,0.9,1.0,0.9761904761904762,0.9765432098765434,0.9947089947089947,1,0,1,0,2.4565254660213696,0.09217056007482811,0,rgb_depth_comil,51,51,1.0
0.44,0.36380952380952375,0.3255555555555555,0.32322222222222224,0.8,0.632996632996633,0.771832611832612,0.40156830375567476,0.4308231173380035,0.72,0.88,0.6666666666666666,0.5,1.0,0.2857142857142857,0.16,1.0,0.0,0.21345238095238095,0.5580357142857144,0.08888888888888889,0.5714285714285714,0.046511627906976744,0.24566955458095383,0.29069767441860467,0,1,0,1,2.484329514503479,0.0018997321311371648,1,rgb_depth_comil,50,50,1.0
0.44,0.44941176470588234,0.3290476190476191,0.3422380952380953,0.64,0.5905856595511768,0.6688013136288998,0.3078444297956494,0.42911512844909616,0.84,0.82,0.21428571428571427,0.42857142857142855,0.6153846153846154,1.0,0.0,0.0,0.9767441860465116,0.2399703681962381,0.5415282392026578,0.0,0.0,0.9761904761904762,0.0953412025183465,0.026785714285714288,2,0,2,0,2.4659777760505674,0.08805853941301198,2,rgb_depth_comil,50,50,1.0
