bag_id,animal_id,fold_id,seed,variant,true_label5,frame_count,available_good_frames,mean_unique_frames,repeat_agreement_with_reference,modal_consistency,mean_abs_bcs_change,expected_bcs_sd,mean_total_variation,repeated_accuracy
BCS4__Cow_15_68,Cow_15,0,2026,VAQ,2,3,3,3.0,0.0,1.0,1.0,2.184378483573682e-07,0.014732101000845432,1.0
BCS4__Cow_15_68,Cow_15,0,2026,VAQ,2,6,3,2.78,0.56,0.56,0.44,0.024707066349562896,0.01899695210158825,0.44
BCS4__Cow_15_68,Cow_15,0,2026,VAQ,2,12,3,2.98,0.46,0.54,0.54,0.008086540687900514,0.015999512746930122,0.54
BCS4__Cow_17,Cow_17,0,2026,VAQ,2,1,10,1.0,1.0,1.0,0.0,0.01307945845543109,0.011880691163241863,0.0
BCS4__Cow_17,Cow_17,0,2026,VAQ,2,3,10,3.0,1.0,1.0,0.0,0.005088687401357504,0.0050382716581225395,0.0
BCS4__Cow_17,Cow_17,0,2026,VAQ,2,6,10,6.0,1.0,1.0,0.0,0.003447740841158703,0.003908985760062933,0.0
BCS4__Cow_17,Cow_17,0,2026,VAQ,2,12,10,7.04,1.0,1.0,0.0,0.002812016964353762,0.0038452530279755592,0.0
BCS4__Cow_19,Cow_19,0,2026,VAQ,2,1,57,1.0,1.0,1.0,0.0,0.06038950494791242,0.03813512250781059,1.0
BCS4__Cow_19,Cow_19,0,2026,VAQ,2,3,57,3.0,1.0,1.0,0.0,0.031779245869410735,0.017499389126896858,1.0
BCS4__Cow_19,Cow_19,0,2026,VAQ,2,6,57,6.0,1.0,1.0,0.0,0.023064689609135963,0.014957116916775703,1.0
BCS4__Cow_19,Cow_19,0,2026,VAQ,2,12,57,12.0,1.0,1.0,0.0,0.01463271047748464,0.008694569580256939,1.0
BCS4__Cow_19_0037,Cow_19,0,2026,VAQ,2,1,5,1.0,1.0,1.0,0.0,0.02567603652424707,0.015924639999866486,0.0
BCS4__Cow_19_0037,Cow_19,0,2026,VAQ,2,3,5,3.0,1.0,1.0,0.0,0.0058253419931558565,0.008635865524411201,0.0
BCS4__Cow_19_0037,Cow_19,0,2026,VAQ,2,6,5,3.6,1.0,1.0,0.0,0.006203808239907429,0.008370070718228817,0.0
BCS4__Cow_19_0037,Cow_19,0,2026,VAQ,2,12,5,4.6,1.0,1.0,0.0,0.0041084905922172356,0.008758995682001114,0.0
BCS4__Cow_2,Cow_2,0,2026,VAQ,2,1,13,1.0,1.0,1.0,0.0,0.016268044321445577,0.013856258243322372,0.0
BCS4__Cow_2,Cow_2,0,2026,VAQ,2,3,13,3.0,1.0,1.0,0.0,0.009208731059285961,0.008133670315146446,0.0
BCS4__Cow_2,Cow_2,0,2026,VAQ,2,6,13,6.0,1.0,1.0,0.0,0.006210118301548102,0.005491479765623808,0.0
BCS4__Cow_2,Cow_2,0,2026,VAQ,2,12,13,12.0,1.0,1.0,0.0,0.001523645902241672,0.0021147101651877165,0.0
BCS4__Cow_23,Cow_23,0,2026,VAQ,2,1,18,1.0,1.0,1.0,0.0,0.014492700863761313,0.008610949851572514,1.0
BCS4__Cow_23,Cow_23,0,2026,VAQ,2,3,18,3.0,1.0,1.0,0.0,0.009142385459108374,0.005062905140221119,1.0
BCS4__Cow_23,Cow_23,0,2026,VAQ,2,6,18,6.0,1.0,1.0,0.0,0.0050578910741533945,0.003101928858086467,1.0
BCS4__Cow_23,Cow_23,0,2026,VAQ,2,12,18,12.0,1.0,1.0,0.0,0.0030010876972837853,0.002079649595543742,1.0
BCS4__Cow_31,Cow_31,0,2026,VAQ,2,1,12,1.0,0.72,0.72,0.84,0.9686858930962228,0.27391546964645386,0.0
BCS4__Cow_31,Cow_31,0,2026,VAQ,2,3,12,3.0,0.94,0.94,0.18,0.5369917451594987,0.12931184470653534,0.0
BCS4__Cow_31,Cow_31,0,2026,VAQ,2,6,12,6.0,1.0,1.0,0.0,0.22638387647101887,0.05886188894510269,0.0
BCS4__Cow_31,Cow_31,0,2026,VAQ,2,12,12,12.0,1.0,1.0,0.0,2.2812304671350694e-08,4.561152344706443e-09,0.0
BCS4__Cow_32_0035,Cow_32,0,2026,VAQ,2,1,8,1.0,0.88,0.88,0.12,0.13272272852617412,0.08330868929624557,0.12
BCS4__Cow_32_0035,Cow_32,0,2026,VAQ,2,3,8,3.0,1.0,1.0,0.0,0.08619829874434719,0.05787566304206848,0.0
BCS4__Cow_32_0035,Cow_32,0,2026,VAQ,2,6,8,6.0,1.0,1.0,0.0,0.03991718295251342,0.029899589717388153,0.0
BCS4__Cow_32_0035,Cow_32,0,2026,VAQ,2,12,8,6.48,1.0,1.0,0.0,0.04250702851880841,0.026813700795173645,0.0
BCS4__Cow_44_1,Cow_44,0,2026,VAQ,2,1,22,1.0,1.0,1.0,0.0,0.01929657916044359,0.012863769195973873,0.0
BCS4__Cow_44_1,Cow_44,0,2026,VAQ,2,3,22,3.0,1.0,1.0,0.0,0.00874553248953188,0.006695954594761133,0.0
BCS4__Cow_44_1,Cow_44,0,2026,VAQ,2,6,22,6.0,1.0,1.0,0.0,0.005438506455866652,0.0049689216539263725,0.0
BCS4__Cow_44_1,Cow_44,0,2026,VAQ,2,12,22,12.0,1.0,1.0,0.0,0.0030300737956640567,0.003468829905614257,0.0
BCS4__Cow_51,Cow_51,0,2026,VAQ,2,1,4,1.0,1.0,1.0,0.0,0.025022038024721402,0.019377069547772408,1.0
BCS4__Cow_51,Cow_51,0,2026,VAQ,2,3,4,3.0,1.0,1.0,0.0,0.007524301879231279,0.01611870713531971,1.0
BCS4__Cow_51,Cow_51,0,2026,VAQ,2,6,4,3.1,1.0,1.0,0.0,0.011710726570042632,0.016181837767362595,1.0
BCS4__Cow_51,Cow_51,0,2026,VAQ,2,12,4,3.84,1.0,1.0,0.0,0.006901354970233668,0.015980619937181473,1.0
BCS4__Cow_51_0035,Cow_51,0,2026,VAQ,2,1,4,1.0,0.4,0.6,0.6,0.021721439570985584,0.017178060486912727,0.4
BCS4__Cow_51_0035,Cow_51,0,2026,VAQ,2,3,4,3.0,0.0,1.0,1.0,0.00664992263674458,0.010987010784447193,0.0
BCS4__Cow_51_0035,Cow_51,0,2026,VAQ,2,6,4,3.4,0.18,0.82,0.82,0.008033900163275286,0.011948442086577415,0.18
BCS4__Cow_51_0035,Cow_51,0,2026,VAQ,2,12,4,3.92,0.1,0.9,0.9,0.006156934548504304,0.011521991342306137,0.1
BCS4__Cow_7,Cow_7,0,2026,VAQ,2,1,15,1.0,1.0,1.0,0.0,0.043305076628687676,0.01845506951212883,0.0
BCS4__Cow_7,Cow_7,0,2026,VAQ,2,3,15,3.0,1.0,1.0,0.0,0.012737541703157745,0.006850267760455608,0.0
BCS4__Cow_7,Cow_7,0,2026,VAQ,2,6,15,6.0,1.0,1.0,0.0,0.006415008786005375,0.003919211681932211,0.0
BCS4__Cow_7,Cow_7,0,2026,VAQ,2,12,15,12.0,1.0,1.0,0.0,0.002652891895379296,0.0017305738292634487,0.0
BCS5__Cow_15,Cow_15,0,2026,VAQ,3,1,25,1.0,0.76,0.76,0.24,0.07972830221378126,0.03303493186831474,0.24
BCS5__Cow_15,Cow_15,0,2026,VAQ,3,3,25,3.0,0.9,0.9,0.1,0.01616874297785687,0.008578801527619362,0.1
BCS5__Cow_15,Cow_15,0,2026,VAQ,3,6,25,6.0,1.0,1.0,0.0,0.011234429218144661,0.005971355829387903,0.0
BCS5__Cow_15,Cow_15,0,2026,VAQ,3,12,25,12.0,1.0,1.0,0.0,0.0061399403742132975,0.003676410997286439,0.0
BCS5__Cow_17_17,Cow_17,0,2026,VAQ,3,1,6,1.0,1.0,1.0,0.0,0.019798739916703344,0.017663881182670593,1.0
BCS5__Cow_17_17,Cow_17,0,2026,VAQ,3,3,6,3.0,1.0,1.0,0.0,0.009119694448976952,0.007609484251588583,1.0
BCS5__Cow_17_17,Cow_17,0,2026,VAQ,3,6,6,6.0,1.0,1.0,0.0,2.282551651202415e-07,0.00043417455162853,1.0
BCS5__Cow_17_17,Cow_17,0,2026,VAQ,3,12,6,5.26,1.0,1.0,0.0,0.005112945148905612,0.004081648774445057,1.0
BCS5__Cow_21,Cow_21,0,2026,VAQ,3,1,18,1.0,0.94,0.94,0.06,0.026437295649195065,0.010524178855121136,0.94
BCS5__Cow_21,Cow_21,0,2026,VAQ,3,3,18,3.0,1.0,1.0,0.0,0.006064084447390234,0.004306724760681391,1.0
BCS5__Cow_21,Cow_21,0,2026,VAQ,3,6,18,6.0,1.0,1.0,0.0,0.003359620053366856,0.0023560868576169014,1.0
BCS5__Cow_21,Cow_21,0,2026,VAQ,3,12,18,12.0,1.0,1.0,0.0,0.001620252034508072,0.0015376545488834381,1.0
BCS5__Cow_23_1067,Cow_23,0,2026,VAQ,3,1,5,1.0,1.0,1.0,0.0,0.02228999957828859,0.02015802636742592,1.0
BCS5__Cow_23_1067,Cow_23,0,2026,VAQ,3,3,5,3.0,1.0,1.0,0.0,0.008472610219085882,0.0091444356366992,1.0
BCS5__Cow_23_1067,Cow_23,0,2026,VAQ,3,6,5,3.74,1.0,1.0,0.0,0.007219130624887341,0.010125108994543552,1.0
BCS5__Cow_23_1067,Cow_23,0,2026,VAQ,3,12,5,4.72,1.0,1.0,0.0,0.005817754730443445,0.007877912372350693,1.0
BCS5__Cow_25,Cow_25,0,2026,VAQ,3,1,29,1.0,0.76,0.76,0.24,0.0966817024963632,0.06023971736431122,0.0
BCS5__Cow_25,Cow_25,0,2026,VAQ,3,3,29,3.0,1.0,1.0,0.0,0.043789436200125036,0.02495853416621685,0.0
BCS5__Cow_25,Cow_25,0,2026,VAQ,3,6,29,6.0,1.0,1.0,0.0,0.026398366739692935,0.014149901457130909,0.0
BCS5__Cow_25,Cow_25,0,2026,VAQ,3,12,29,12.0,1.0,1.0,0.0,0.017077966332461777,0.00912500824779272,0.0
BCS5__Cow_31_15,Cow_31,0,2026,VAQ,3,1,3,1.0,1.0,1.0,0.0,0.013348162701582898,0.010583261027932167,1.0
BCS5__Cow_31_15,Cow_31,0,2026,VAQ,3,3,3,3.0,1.0,1.0,0.0,0.0,0.003460862673819065,1.0
BCS5__Cow_31_15,Cow_31,0,2026,VAQ,3,6,3,2.8,1.0,1.0,0.0,0.0050283221135555105,0.0045969001948833466,1.0
BCS5__Cow_31_15,Cow_31,0,2026,VAQ,3,12,3,2.94,1.0,1.0,0.0,0.0039776356026143935,0.004354961682111025,1.0
BCS5__Cow_31_2024,Cow_31,0,2026,VAQ,3,1,5,1.0,0.82,0.82,0.18,0.04419411323221737,0.030391082167625427,0.82
BCS5__Cow_31_2024,Cow_31,0,2026,VAQ,3,3,5,3.0,1.0,1.0,0.0,0.017312756922404762,0.02397548034787178,1.0
BCS5__Cow_31_2024,Cow_31,0,2026,VAQ,3,6,5,3.62,1.0,1.0,0.0,0.014115992900974315,0.024134522303938866,1.0
BCS5__Cow_31_2024,Cow_31,0,2026,VAQ,3,12,5,4.72,1.0,1.0,0.0,0.010304185616072848,0.024673888459801674,1.0
BCS5__Cow_32,Cow_32,0,2026,VAQ,3,1,5,1.0,1.0,1.0,0.0,0.051757086792925684,0.03247483819723129,1.0
BCS5__Cow_32,Cow_32,0,2026,VAQ,3,3,5,3.0,1.0,1.0,0.0,0.02465453388006221,0.015797968953847885,1.0
BCS5__Cow_32,Cow_32,0,2026,VAQ,3,6,5,3.66,1.0,1.0,0.0,0.018244588528921073,0.01312718540430069,1.0
BCS5__Cow_32,Cow_32,0,2026,VAQ,3,12,5,4.72,1.0,1.0,0.0,0.012475534675859129,0.013493992388248444,1.0
BCS5__Cow_44_3008,Cow_44,0,2026,VAQ,3,1,3,1.0,1.0,1.0,0.0,0.06812959135678404,0.06205611303448677,1.0
BCS5__Cow_44_3008,Cow_44,0,2026,VAQ,3,3,3,3.0,1.0,1.0,0.0,2.0596372548502696e-07,0.025337696075439453,1.0
BCS5__Cow_44_3008,Cow_44,0,2026,VAQ,3,6,3,2.78,1.0,1.0,0.0,0.019524691577017875,0.027314474806189537,1.0
BCS5__Cow_44_3008,Cow_44,0,2026,VAQ,3,12,3,2.96,1.0,1.0,0.0,0.013294120539803249,0.025223324075341225,1.0
BCS5__Cow_45,Cow_45,0,2026,VAQ,3,1,24,1.0,1.0,1.0,0.0,0.013985587614625357,0.009334055706858635,1.0
BCS5__Cow_45,Cow_45,0,2026,VAQ,3,3,24,3.0,1.0,1.0,0.0,0.006067138715929506,0.004781861789524555,1.0
BCS5__Cow_45,Cow_45,0,2026,VAQ,3,6,24,6.0,1.0,1.0,0.0,0.004581554830052544,0.0036678421311080456,1.0
BCS5__Cow_45,Cow_45,0,2026,VAQ,3,12,24,12.0,1.0,1.0,0.0,0.0026328327819771856,0.002321405801922083,1.0
