bcs_raw,count,mean,std,min,25%,50%,75%,max
2,6.0,170.61844635009766,2.2467143974648627,166.461181640625,170.3403549194336,171.05731201171875,171.86307525634766,172.90184020996094
3,19.0,167.94264462119654,4.293037920389742,158.71002197265625,165.055908203125,168.5933837890625,171.02890014648438,175.81446838378906
4,50.0,169.4673403930664,3.172874171771701,158.5905303955078,168.4088897705078,170.24422454833984,171.4735107421875,173.93026733398438
5,51.0,169.89505244236366,2.4760171334593877,163.62744140625,169.01089477539062,170.34967041015625,171.6244659423828,173.99090576171875
6,24.0,172.13897832234701,1.520785909474072,167.9115447998047,171.4512481689453,172.6465072631836,173.16998291015625,173.8756103515625
