metric,mean,std
acc3_final,0.8367003367003368,0.05058915555998894
acc5,0.6166426166426167,0.1208386272562837
attn_entropy_mean,2.4354898012447035,0.010592855715099906
attn_entropy_std,0.13736873596752439,0.05025239850679616
balanced_acc5,0.6195454545454545,0.14566848218951695
bcs2_to_bcs6_errors,0.3333333333333333,0.5773502691896258
bcs6_to_bcs2_or_3_errors,0.0,0.0
eligible_test_bags,37.0,4.58257569495584
fold_id,1.0,1.0
high_branch_pr_auc,0.994047619047619,0.01030982623552906
high_branch_precision,0.9583333333333334,0.07216878364870323
high_branch_recall,1.0,0.0
high_branch_roc_auc,0.9981684981684982,0.0031722542263166137
high_branch_specificity,0.9871794871794872,0.02220577958421636
high_precision_final,0.9583333333333334,0.07216878364870323
high_recall_final,1.0,0.0
high_to_lean_errors,0.0,0.0
lean_precision_final,0.5035714285714286,0.1890834498849864
lean_recall_final,0.6666666666666666,0.16666666666666669
lean_to_high_errors,0.3333333333333333,0.5773502691896258
low_pr_auc,0.529869619003606,0.10205760536416195
low_precision,0.5936507936507937,0.16938821043751237
low_recall,0.5740740740740741,0.08486251286955257
low_roc_auc,0.800818530128875,0.0635419260536211
low_specificity,0.9230929989550679,0.02318430909353464
macro_f1_3_final,0.8058876775002194,0.0815868080933125
macro_f1_5,0.5679797218032512,0.1504347163440426
mae_bcs,0.5165945165945166,0.23971637528717912
qwk3_final,0.7603042032410322,0.12995687855723095
qwk5,0.6339360265555832,0.2865264331511986
raw_test_bags,50.333333333333336,0.5773502691896258
test_coverage,0.7345098039215686,0.0827246513163365
weighted_f1_3_final,0.8463233308443529,0.043721838093008294
weighted_f1_5,0.5951579738344445,0.1430247375376288
within_one_acc,0.8970658970658971,0.06877507967475163
