BCS,count,mean,std,min,25%,50%,75%,max
2,6.0,169.9800821940104,2.950465146296031,164.2025909423828,170.25144958496094,170.8357696533203,171.2306671142578,172.58738708496094
3,17.0,165.2399929271025,4.035944616257698,158.71002197265625,162.6205291748047,165.8255615234375,168.214111328125,171.40643310546875
4,47.0,168.55661302931765,3.467588695051899,157.94207763671875,166.4491195678711,169.38067626953125,170.7154541015625,173.93026733398438
5,50.0,169.68408721923828,2.4494713646983337,163.4549102783203,168.84113693237305,170.24534606933594,171.3027114868164,173.50637817382812
6,23.0,171.93550839631453,1.7176240283197677,167.54396057128906,171.20299530029297,172.57476806640625,172.95455932617188,174.25454711914062
