epoch,loss,score,n,acc5,macro_f1_5,qwk5,mae_bcs,within_one_acc,macro_f1_3,extreme_lean_high
1,2.198179289146706,-0.19833333333333333,15,0.06666666666666667,0.025,0.0,1.9333333333333333,0.2,0.041666666666666664,3
2,2.1436570485432944,-0.19833333333333333,15,0.0,0.0,0.0,2.933333333333333,0.06666666666666667,0.041666666666666664,3
3,2.070696168475681,-0.19833333333333333,15,0.0,0.0,0.0,2.933333333333333,0.06666666666666667,0.041666666666666664,3
4,1.934650840582671,-0.19833333333333333,15,0.0,0.0,0.0,2.933333333333333,0.06666666666666667,0.041666666666666664,3
5,1.7887517699488886,-0.19833333333333333,15,0.0,0.0,0.0,2.933333333333333,0.06666666666666667,0.041666666666666664,3
6,1.6585465669631958,-0.19833333333333333,15,0.0,0.0,0.0,2.933333333333333,0.06666666666666667,0.041666666666666664,3
7,1.5241431483515986,-0.19833333333333333,15,0.0,0.0,0.0,2.933333333333333,0.06666666666666667,0.041666666666666664,3
8,1.2986863321728177,0.24615051305859098,15,0.2,0.17333333333333334,0.1504178272980501,1.6666666666666667,0.4,0.2735042735042735,1
9,1.286192328841598,0.24219992567818643,15,0.2,0.17777777777777776,0.13913043478260856,1.7333333333333334,0.4,0.2735042735042735,1
10,1.2752433088090684,0.22267914487567658,15,0.2,0.15873015873015872,0.16184971098265877,1.6,0.4666666666666667,0.24603174603174602,1
11,1.0562940880104348,0.3463344621835187,15,0.26666666666666666,0.24000000000000005,0.15094339622641495,1.6,0.4,0.3735042735042735,1
12,1.1292361330102991,0.6928774928774928,15,0.4666666666666667,0.34945054945054943,0.3076923076923077,1.0666666666666667,0.6,0.5851851851851851,0
13,0.9335474570592245,0.457843137254902,15,0.3333333333333333,0.20714285714285713,0.11764705882352944,1.2,0.6,0.4166666666666667,0
14,0.9064442029705754,0.5967320261437907,15,0.4666666666666667,0.3,0.11764705882352933,1.0666666666666667,0.6,0.5555555555555555,0
15,0.717684785525004,0.6354691075514874,15,0.5333333333333333,0.31764705882352945,0.16149068322981375,0.8666666666666667,0.6666666666666666,0.5789473684210527,0
16,0.73290036894657,0.5964776329693554,15,0.4666666666666667,0.30666666666666664,0.19161676646706582,1.0666666666666667,0.6,0.5294117647058824,0
17,0.646178369168882,0.5605858537747083,15,0.4,0.27999999999999997,0.08906882591093124,1.2666666666666666,0.5333333333333333,0.5294117647058824,0
18,0.5420122499819156,0.5964776329693554,15,0.4666666666666667,0.30666666666666664,0.19161676646706582,1.0666666666666667,0.6,0.5294117647058824,0
19,0.6522864191620438,0.5967320261437907,15,0.4666666666666667,0.3,0.11764705882352933,1.0666666666666667,0.6,0.5555555555555555,0
20,0.6132823052229704,0.7013157894736841,15,0.6,0.425,0.2894736842105262,0.6666666666666666,0.7333333333333333,0.6,0
21,0.6037537389331393,0.6115555555555555,15,0.5333333333333333,0.44000000000000006,0.16000000000000014,1.0,0.6,0.5555555555555555,0
22,0.7008103043944748,0.6496471360577711,15,0.4666666666666667,0.387012987012987,0.26883308714918763,1.0,0.6666666666666666,0.5555555555555555,0
23,0.4944441583421495,0.637584127261603,15,0.26666666666666666,0.25,0.30906389301634474,1.1333333333333333,0.6666666666666666,0.5294117647058824,0
24,0.49706885991273103,0.6260605582715659,15,0.26666666666666666,0.25,0.2761394101876675,1.2,0.6666666666666666,0.5294117647058824,0
25,0.514711841388985,0.5840989399293287,15,0.3333333333333333,0.30666666666666664,0.24028268551236764,1.2666666666666666,0.6,0.5,0
26,0.5458835473767033,0.5745881061358261,15,0.4,0.32571428571428573,0.26512968299711814,1.0666666666666667,0.6666666666666666,0.48179271708683474,0
27,0.67400594552358,0.6496471360577711,15,0.4666666666666667,0.387012987012987,0.26883308714918763,1.0,0.6666666666666666,0.5555555555555555,0
28,0.8843491971492767,0.5106538752840192,15,0.2,0.21714285714285717,0.24892703862660948,1.2666666666666666,0.6,0.4235294117647059,0
29,0.4224258617118553,0.6498405281115562,15,0.4,0.31555555555555553,0.3691588785046729,0.8,0.8,0.5206349206349207,0
30,0.38312306503454846,0.6555746796710652,15,0.4666666666666667,0.3523076923076923,0.3855421686746987,0.7333333333333333,0.8,0.5206349206349207,0
31,0.6550947803038137,0.6232974910394264,15,0.5333333333333333,0.4523076923076923,0.19354838709677413,1.0,0.6,0.5555555555555555,0
32,0.30728636074949195,0.5594186393340383,15,0.4666666666666667,0.38564102564102565,0.2349304482225657,1.0,0.6666666666666666,0.47719298245614034,0
33,0.6562661081552505,0.6525435073627843,15,0.5333333333333333,0.4333333333333333,0.27710843373493976,0.9333333333333333,0.6666666666666666,0.5555555555555555,0
34,0.4535400668780009,0.6525435073627843,15,0.5333333333333333,0.4333333333333333,0.27710843373493976,0.9333333333333333,0.6666666666666666,0.5555555555555555,0
35,0.473508616288503,0.6911424903722722,15,0.4,0.3288888888888889,0.32055749128919864,0.9333333333333333,0.7333333333333333,0.5789473684210527,0
36,0.41129873251473464,0.6468599033816425,15,0.4,0.33999999999999997,0.26086956521739135,1.0666666666666667,0.6666666666666666,0.5555555555555555,0
37,0.3551373470712591,0.7032464338416134,15,0.6,0.4564102564102564,0.3551401869158879,0.7333333333333333,0.7333333333333333,0.5789473684210527,0
38,0.38353915898888197,0.6504601385585772,15,0.5333333333333333,0.4066666666666666,0.20432220039292737,0.8666666666666667,0.6666666666666666,0.5789473684210527,0
39,0.25208002273683194,0.5746408553530216,15,0.5333333333333333,0.2863157894736842,0.1543026706231455,0.7333333333333333,0.7333333333333333,0.5206349206349207,0
40,0.2589321765634749,0.6354691075514874,15,0.5333333333333333,0.31764705882352945,0.16149068322981375,0.8666666666666667,0.6666666666666666,0.5789473684210527,0
41,0.52991944109952,0.6232974910394264,15,0.5333333333333333,0.4523076923076923,0.19354838709677413,1.0,0.6,0.5555555555555555,0
42,0.5850837749463541,0.6232974910394264,15,0.5333333333333333,0.4523076923076923,0.19354838709677413,1.0,0.6,0.5555555555555555,0
43,0.6773775661433185,0.6232974910394264,15,0.5333333333333333,0.4523076923076923,0.19354838709677413,1.0,0.6,0.5555555555555555,0
44,0.7066694409758957,0.6674531155474894,15,0.6,0.4742857142857143,0.2528735632183907,0.8,0.6666666666666666,0.5789473684210527,0
45,0.5814885905495396,0.7376794258373206,15,0.5333333333333333,0.3638095238095238,0.2894736842105263,0.6666666666666666,0.8666666666666667,0.6363636363636364,0
46,0.3205218160593951,0.759264399722415,15,0.6,0.41428571428571426,0.35114503816793896,0.6,0.8666666666666667,0.6363636363636364,0
47,0.3498358836880437,0.6990203611217826,15,0.5333333333333333,0.41428571428571426,0.34306569343065685,0.8,0.7333333333333333,0.5789473684210527,0
