metric,mean,std
acc3_final,0.44274509803921563,0.14413725356827536
acc5,0.3636601307189542,0.11008460856626834
attn_entropy_mean,2.428073398163116,0.06600751822550627
attn_entropy_std,0.09704259818333942,0.06718284281911481
balanced_acc5,0.40888577653283537,0.039349150786414655
bcs2_to_bcs6_errors,1.0,1.0
bcs6_to_bcs2_or_3_errors,0.3333333333333333,0.5773502691896258
eligible_test_bags,50.333333333333336,0.5773502691896258
fold_id,1.0,1.0
high_branch_pr_auc,0.9397291406776501,0.05077586256516834
high_branch_precision,0.8757575757575756,0.13797033257978436
high_branch_recall,0.8571428571428571,0.24743582965269675
high_branch_roc_auc,0.9577181001599606,0.0612143075716721
high_branch_specificity,0.9682539682539684,0.036369648372665375
high_precision_final,0.8484848484848486,0.13886593015017695
high_recall_final,0.9523809523809524,0.08247860988423228
high_to_lean_errors,0.3333333333333333,0.5773502691896258
lean_precision_final,0.1609166027770679,0.02244602035479255
lean_recall_final,0.5844155844155844,0.4092454871841229
lean_to_high_errors,1.0,1.0
low_pr_auc,0.2081113550158614,0.079285002089115
low_precision,0.16666666666666666,0.2886751345948129
low_recall,0.030303030303030304,0.052486388108147805
low_roc_auc,0.48070950367462,0.04627995361556317
low_specificity,0.9759782207456625,0.0008912550261295639
macro_f1_3_final,0.5021840388570337,0.07158088043709139
macro_f1_5,0.3046614843354342,0.0489806553863462
mae_bcs,1.0206535947712418,0.13025355058779747
qwk3_final,0.40766295146275017,0.03953545518487017
qwk5,0.3142115218262998,0.03186035256865897
raw_test_bags,50.333333333333336,0.5773502691896258
test_coverage,1.0,0.0
weighted_f1_3_final,0.42747123400539416,0.1911181944083613
weighted_f1_5,0.30512190870285366,0.10138224417617821
within_one_acc,0.6886274509803921,0.04270010223942336
