metric,mean,std
acc3_final,0.39725490196078433,0.15052541581866427
acc5,0.2581699346405229,0.07141598907871576
attn_entropy_mean,2.4532983614105026,0.04372190557698662
attn_entropy_std,0.0639809971670076,0.0911984726632477
balanced_acc5,0.30295440398381573,0.029094273892860227
bcs2_to_bcs6_errors,0.3333333333333333,0.5773502691896258
bcs6_to_bcs2_or_3_errors,0.6666666666666666,0.5773502691896258
eligible_test_bags,50.333333333333336,0.5773502691896258
fold_id,1.0,1.0
high_branch_pr_auc,0.4889488967253944,0.023267653237231692
high_branch_precision,0.4666666666666666,0.05773502691896256
high_branch_recall,0.5793650793650794,0.08361629962581536
high_branch_roc_auc,0.859027008736311,0.009386348794195868
high_branch_specificity,0.8737541528239202,0.02877160809915078
high_precision_final,0.4398692810457516,0.07710479428382314
high_recall_final,0.8366402116402116,0.05175238137431118
high_to_lean_errors,0.6666666666666666,0.5773502691896258
lean_precision_final,0.255050505050505,0.07588373333998343
lean_recall_final,0.7435064935064934,0.16892479921205927
lean_to_high_errors,0.6666666666666666,1.1547005383792517
low_pr_auc,0.3562603376597042,0.09586092810397345
low_precision,0.36507936507936506,0.0549857399228215
low_recall,0.46861471861471865,0.24114293034983436
low_roc_auc,0.6919342930970838,0.08103509376547315
low_specificity,0.8039128829826504,0.1765972091034871
macro_f1_3_final,0.40511613995177087,0.1305528966368707
macro_f1_5,0.2103081256511797,0.07002810244682768
mae_bcs,1.0599999999999998,0.17776388834631177
qwk3_final,0.4141593267953345,0.12512392006540543
qwk5,0.45299068753479727,0.12289989703392241
raw_test_bags,50.333333333333336,0.5773502691896258
test_coverage,1.0,0.0
weighted_f1_3_final,0.33806512201746436,0.22048254725654887
weighted_f1_5,0.20472609785569604,0.1065930274142102
within_one_acc,0.7350326797385621,0.09042114573512545
