metric,mean,std
acc3_final,0.4123376623376623,0.1576635916660182
acc5,0.199013949013949,0.011523325019776471
attn_entropy_mean,0.0,0.0
attn_entropy_std,0.0,0.0
balanced_acc5,0.29362674362674357,0.11071823716694698
bcs2_to_bcs6_errors,0.0,0.0
bcs6_to_bcs2_or_3_errors,1.3333333333333333,1.1547005383792517
eligible_test_bags,37.0,4.58257569495584
fold_id,1.0,1.0
high_branch_pr_auc,0.28471999007178866,0.1473452642843385
high_branch_precision,0.10171568627450982,0.09475979618736916
high_branch_recall,0.2169312169312169,0.21433469947649833
high_branch_roc_auc,0.5104184874299816,0.1991789590580579
high_branch_specificity,0.6818181818181818,0.27648920592264636
high_precision_final,0.5537037037037037,0.2623689169083693
high_recall_final,0.6878306878306879,0.10568774791237134
high_to_lean_errors,1.3333333333333333,1.1547005383792517
lean_precision_final,0.22535612535612534,0.07312730473653495
lean_recall_final,0.611111111111111,0.3469443332443555
lean_to_high_errors,0.6666666666666666,1.1547005383792517
low_pr_auc,0.21604023256169166,0.06862139990867315
low_precision,0.12819185645272602,0.07458147317518656
low_recall,0.3703703703703704,0.22452510468485448
low_roc_auc,0.4518325012577886,0.08063346104243388
low_specificity,0.5252873563218391,0.2166506594898007
macro_f1_3_final,0.3922406569465393,0.13374189921790317
macro_f1_5,0.16370191597400574,0.020517465329668538
mae_bcs,1.4579124579124578,0.22344323263349572
qwk3_final,0.3465133546043786,0.19299690658174481
qwk5,0.2674284607944514,0.1197997368278386
raw_test_bags,50.333333333333336,0.5773502691896258
test_coverage,0.7345098039215686,0.0827246513163365
weighted_f1_3_final,0.35541277894219075,0.21199484691106482
weighted_f1_5,0.1680479858132967,0.04098936136147546
within_one_acc,0.5548340548340548,0.10745032914740149
