epoch,loss,score,n,acc5,macro_f1_5,qwk5,mae_bcs,within_one_acc,macro_f1_3,extreme_lean_high
1,2.1797166737643154,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
2,2.1045236479152334,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
3,1.9149741281162609,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
4,1.6922811963341453,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
5,1.4463206919756804,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
6,1.0949577526612715,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
7,1.1901429176330567,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
8,1.112000707062808,-0.23194457716196848,20,0.05,0.023529411764705882,0.0031397174254317317,2.25,0.25,0.08695652173913043,4
9,0.7667974537069148,0.6284402412280702,20,0.3,0.29047619047619044,0.5424107142857142,1.15,0.55,0.4385964912280702,0
10,1.1288332809101451,0.24397717139290173,20,0.2,0.21904761904761902,0.2471910112359551,1.45,0.55,0.31746031746031744,2
11,1.2514307964931835,0.6487962059213654,20,0.35,0.4470588235294118,0.6005706134094151,0.9,0.75,0.4385964912280702,0
12,0.8756967089392922,0.635273228388191,20,0.3,0.24444444444444446,0.5619335347432024,0.95,0.75,0.4385964912280702,0
13,0.6586708654056895,0.4087914230019493,20,0.3,0.22483660130718955,0.33834586466165417,1.1,0.7,0.3703703703703704,1
14,0.7774521730162881,0.6255096954289417,20,0.35,0.36444444444444446,0.623149394347241,0.9,0.75,0.4074074074074074,0
15,0.7112824786793102,0.6254028344010871,20,0.35,0.4133333333333333,0.6888260254596889,0.8,0.85,0.3843137254901961,0
16,1.1908154422586614,0.6487962059213654,20,0.35,0.4470588235294118,0.6005706134094151,0.9,0.75,0.4385964912280702,0
17,0.5829543623057278,0.6487962059213654,20,0.35,0.4470588235294118,0.6005706134094151,0.9,0.75,0.4385964912280702,0
18,0.5102767727591775,0.6487962059213654,20,0.35,0.4470588235294118,0.6005706134094151,0.9,0.75,0.4385964912280702,0
19,0.5796904742717743,0.5771277226883634,20,0.4,0.26666666666666666,0.368421052631579,0.8,0.9,0.5281803542673108,1
20,0.41717411984096875,0.8459759301635731,20,0.55,0.4031746031746032,0.49473684210526314,0.6,0.95,0.752818035426731,1
21,0.6139316428791393,0.6044752351044171,20,0.4,0.30598290598290595,0.38879456706281834,0.9,0.8,0.5483971366324307,1
22,0.5770510738546198,-0.264108567018266,20,0.15,0.11372549019607843,-0.08875739644970415,1.7,0.55,0.08695652173913043,4
23,0.6197352561083707,-0.264108567018266,20,0.15,0.11372549019607843,-0.08875739644970415,1.7,0.55,0.08695652173913043,4
24,0.5925645611502908,0.6846669355380789,20,0.45,0.3362193362193362,0.41923774954627946,0.8,0.85,0.617933723196881,1
25,0.4051615067503669,0.8147382052645212,20,0.6,0.4111111111111111,0.44976076555023925,0.55,0.95,0.7373219373219374,1
26,0.49947781454433093,0.6520662768031189,20,0.55,0.305050505050505,0.3984962406015038,0.6,0.95,0.5925925925925926,1
27,0.3075978658416054,0.6520662768031189,20,0.55,0.305050505050505,0.3984962406015038,0.6,0.95,0.5925925925925926,1
28,0.4342507844621485,0.6044752351044171,20,0.4,0.30598290598290595,0.38879456706281834,0.9,0.8,0.5483971366324307,1
29,0.35786793773824516,0.6514140050982157,20,0.4,0.30598290598290595,0.42105263157894735,0.85,0.85,0.584045584045584,1
30,0.3552626447244124,0.6781575160204193,20,0.45,0.3649206349206349,0.41532258064516125,0.75,0.9,0.6127946127946128,1
31,0.5233721191232855,0.7942071832235768,20,0.6,0.4920634920634921,0.3911007025761124,0.6,0.9,0.7373219373219374,1
32,0.22684736251831056,0.6229837906366024,20,0.5,0.3511111111111111,0.31540342298288515,0.7,0.9,0.5925925925925926,1
33,0.14391899732026187,0.7512857448695599,20,0.55,0.45575757575757575,0.4219653179190752,0.7,0.85,0.6835978835978835,1
34,0.20225724930113012,0.6528260718504622,20,0.4,0.3333333333333333,0.42508710801393734,0.85,0.85,0.584045584045584,1
35,0.4024077735163949,0.6059182158904409,20,0.4,0.3282051282051282,0.39291736930860033,0.9,0.8,0.5483971366324307,1
36,0.5962234125895933,0.6521225071225072,20,0.4,0.3379509379509379,0.42307692307692313,0.85,0.85,0.584045584045584,1
37,0.1643120524558154,0.7050484610944003,20,0.5,0.39206349206349206,0.4129979035639413,0.7,0.9,0.6404991948470209,1
38,0.4723982832648537,0.8033333333333333,20,0.6,0.46944444444444444,0.4747474747474747,0.6,0.9,0.7171717171717171,1
39,0.3509109247814525,0.7041834053733368,20,0.5,0.346031746031746,0.41052631578947374,0.7,0.9,0.6404991948470209,1
40,0.21142132011326878,0.7474262043998886,20,0.5,0.3497076023391813,0.45175438596491235,0.65,0.95,0.6693121693121693,1
41,0.37121952907605604,0.7041834053733368,20,0.5,0.346031746031746,0.41052631578947374,0.7,0.9,0.6404991948470209,1
42,0.20586676028641787,0.65311628336566,20,0.55,0.3549206349206349,0.4014962593516209,0.6,0.95,0.5925925925925926,1
43,0.28547204516150737,0.6097283388171771,20,0.5,0.346031746031746,0.36218678815489747,0.7,0.9,0.562962962962963,1
44,0.4060563633387739,0.79664752362333,20,0.55,0.44158730158730153,0.4556451612903225,0.65,0.9,0.7171717171717171,1
45,0.27000423886559227,0.7634514468910825,20,0.6,0.44825396825396824,0.4077448747152619,0.6,0.9,0.7007407407407408,1
46,0.25290706929835405,0.7633066214619613,20,0.5,0.4095238095238095,0.4563106796116505,0.7,0.9,0.6835978835978835,1
47,0.35823590470985933,0.610770017988363,20,0.45,0.3787101787101787,0.4067796610169492,0.85,0.8,0.5483971366324307,1
48,0.28303281989964574,0.610770017988363,20,0.45,0.3787101787101787,0.4067796610169492,0.85,0.8,0.5483971366324307,1
49,0.23757614439184016,0.6106102220708962,20,0.4,0.33645909645909644,0.3820224719101123,0.85,0.85,0.5569023569023569,1
50,0.21236009137196973,0.7490947780078215,20,0.5,0.4133333333333333,0.4565217391304348,0.65,0.95,0.6693121693121693,1
51,0.13764132166450674,0.6177593430534607,20,0.5,0.3634920634920635,0.3411764705882353,0.7,0.9,0.5783475783475783,1
52,0.15078547271815212,0.6177593430534607,20,0.5,0.3634920634920635,0.3411764705882353,0.7,0.9,0.5783475783475783,1
53,0.1765983456915075,0.741915206188525,20,0.45,0.3815873015873016,0.43600867678958777,0.7,0.95,0.6693121693121693,1
54,0.2693639401685108,0.7128004500771464,20,0.55,0.44158730158730164,0.43514644351464427,0.65,0.9,0.6404991948470209,1
55,0.34564087079329925,0.7128004500771464,20,0.55,0.44158730158730164,0.43514644351464427,0.65,0.9,0.6404991948470209,1
56,0.20148280615156347,0.7050484610944003,20,0.5,0.39206349206349206,0.4129979035639413,0.7,0.9,0.6404991948470209,1
57,0.25088308941234244,0.7059062929681065,20,0.5,0.4095238095238095,0.4154488517745303,0.7,0.9,0.6404991948470209,1
58,0.22967837398702448,0.7059062929681065,20,0.5,0.4095238095238095,0.4154488517745303,0.7,0.9,0.6404991948470209,1
59,0.1232358224012635,0.7490947780078215,20,0.5,0.4133333333333333,0.4565217391304348,0.65,0.95,0.6693121693121693,1
60,0.14185895242474295,0.7059062929681065,20,0.5,0.4095238095238095,0.4154488517745303,0.7,0.9,0.6404991948470209,1
61,0.2465236024423079,0.7128004500771464,20,0.55,0.44158730158730164,0.43514644351464427,0.65,0.9,0.6404991948470209,1
62,0.16064563637430018,0.7059062929681065,20,0.5,0.4095238095238095,0.4154488517745303,0.7,0.9,0.6404991948470209,1
63,0.23787859895012595,0.7050484610944003,20,0.5,0.39206349206349206,0.4129979035639413,0.7,0.9,0.6404991948470209,1
64,0.13741981861266223,0.7050484610944003,20,0.5,0.39206349206349206,0.4129979035639413,0.7,0.9,0.6404991948470209,1
65,0.36730226603421295,0.6781575160204193,20,0.45,0.3649206349206349,0.41532258064516125,0.75,0.9,0.6127946127946128,1
66,0.19035077907822348,0.7050484610944003,20,0.5,0.39206349206349206,0.4129979035639413,0.7,0.9,0.6404991948470209,1
67,0.19598742615092885,0.7050484610944003,20,0.5,0.39206349206349206,0.4129979035639413,0.7,0.9,0.6404991948470209,1
68,0.12361793396147815,0.7050484610944003,20,0.5,0.39206349206349206,0.4129979035639413,0.7,0.9,0.6404991948470209,1
69,0.29193671941757204,0.7050484610944003,20,0.5,0.39206349206349206,0.4129979035639413,0.7,0.9,0.6404991948470209,1
70,0.11437935693697496,0.7050484610944003,20,0.5,0.39206349206349206,0.4129979035639413,0.7,0.9,0.6404991948470209,1
