Variant,Coverage,Acc5,Macro-F1 5,Weighted-F1 5,QWK5,MAE,Within-one Acc,Acc3 final,Macro-F1 3 final,QWK3 final,Lean recall final,High recall final,Low PR-AUC,High PR-AUC
rgb_only_lowhigh,1.0,0.2581699346405229,0.2103081256511797,0.20472609785569604,0.45299068753479727,1.0599999999999998,0.7350326797385621,0.39725490196078433,0.40511613995177087,0.4141593267953345,0.7435064935064934,0.8366402116402116,0.3562603376597042,0.4889488967253944
depth_only_lowhigh,1.0,0.3636601307189542,0.3046614843354342,0.30512190870285366,0.3142115218262998,1.0206535947712418,0.6886274509803921,0.44274509803921563,0.5021840388570337,0.40766295146275017,0.5844155844155844,0.9523809523809524,0.2081113550158614,0.9397291406776501
rgb_depth_comil,1.0,0.4763398692810457,0.36420209019280225,0.38712090106080277,0.41966179437465795,0.7422222222222222,0.8411764705882353,0.695686274509804,0.6379738620533305,0.48531325155055965,0.551948051948052,0.7619047619047619,0.23939076423024408,0.43918465565861453
rgb_depth_lowhigh,1.0,0.4562091503267974,0.40685201989648445,0.4399309385984682,0.3935210102410573,0.869281045751634,0.7675816993464052,0.5687581699346406,0.5842170855846369,0.4595338434148015,0.6883116883116882,0.8571428571428571,0.34528273772075097,0.987962962962963
qg_rgb_depth_lowhigh_no_angle,0.7345098039215686,0.5234487734487735,0.4075311467073481,0.4653503360215793,0.4799501546711172,0.639009139009139,0.9022366522366522,0.8154160654160654,0.718807516206537,0.6279346153473923,0.4444444444444445,0.9047619047619048,0.46934337759286165,0.9834656084656084
qg_rgb_depth_lowhigh_with_angle,0.7345098039215686,0.6166426166426167,0.5679797218032512,0.5951579738344445,0.6339360265555832,0.5165945165945166,0.8970658970658971,0.8367003367003368,0.8058876775002194,0.7603042032410322,0.6666666666666666,1.0,0.529869619003606,0.994047619047619
angle_only_mlp,0.7345098039215686,0.199013949013949,0.16370191597400574,0.1680479858132967,0.2674284607944514,1.4579124579124578,0.5548340548340548,0.4123376623376623,0.3922406569465393,0.3465133546043786,0.611111111111111,0.6878306878306879,0.21604023256169166,0.28471999007178866
