epoch,loss,score,n,acc5,macro_f1_5,qwk5,mae_bcs,within_one_acc,macro_f1_3,extreme_lean_high
1,2.1932754516601562,-0.19833333333333333,15,0.06666666666666667,0.025,0.0,1.9333333333333333,0.2,0.041666666666666664,3
2,2.144484378673412,-0.19833333333333333,15,0.06666666666666667,0.025,0.0,1.9333333333333333,0.2,0.041666666666666664,3
3,2.09814073421337,-0.19833333333333333,15,0.06666666666666667,0.025,0.0,1.9333333333333333,0.2,0.041666666666666664,3
4,2.0332980950673423,-0.19833333333333333,15,0.06666666666666667,0.025,0.0,1.9333333333333333,0.2,0.041666666666666664,3
5,1.9234039341961895,-0.2183154921201309,15,0.06666666666666667,0.02857142857142857,-0.05709188224799311,2.066666666666667,0.2,0.041666666666666664,3
6,1.7483545453460128,-0.22647403685092132,15,0.06666666666666667,0.03076923076923077,-0.08040201005025138,2.1333333333333333,0.2,0.041666666666666664,3
7,1.6385865343941584,0.06146231258985416,15,0.13333333333333333,0.13076923076923078,0.02957486136783727,1.8666666666666667,0.26666666666666666,0.2111111111111111,2
8,1.4304834206899006,0.5020979020979021,15,0.26666666666666666,0.23076923076923075,0.3356643356643356,1.3333333333333333,0.4,0.3846153846153846,0
9,1.5311255984836154,0.5020979020979021,15,0.26666666666666666,0.23076923076923075,0.3356643356643356,1.3333333333333333,0.4,0.3846153846153846,0
10,1.2825236982769437,0.5718758658908285,15,0.3333333333333333,0.2733333333333333,0.36408977556109723,1.2,0.4666666666666667,0.4444444444444444,0
11,1.2165122738590948,0.5967320261437907,15,0.4666666666666667,0.3,0.11764705882352933,1.0666666666666667,0.6,0.5555555555555555,0
12,1.1906689405441284,0.11827500478102879,15,0.2,0.18444444444444447,0.02409638554216853,1.9333333333333333,0.3333333333333333,0.2698412698412698,2
13,0.8405327311268559,0.11939758383444385,15,0.2,0.18,0.027303754266211455,1.8666666666666667,0.3333333333333333,0.2698412698412698,2
14,0.8252309075108281,0.5967320261437907,15,0.4666666666666667,0.3,0.11764705882352933,1.0666666666666667,0.6,0.5555555555555555,0
15,0.929740411263925,0.5967320261437907,15,0.4666666666666667,0.3,0.11764705882352933,1.0666666666666667,0.6,0.5555555555555555,0
